ts_code,trade_date,adj_factor
000001.SZ,20200915,111.0487
000002.SZ,20200915,153.9007
000004.SZ,20200915,4.0639
000005.SZ,20200915,9.2676
000006.SZ,20200915,36.5068
000007.SZ,20200915,8.2835
000008.SZ,20200915,22.4083
000009.SZ,20200915,8.8815
000010.SZ,20200915,10.7745
000011.SZ,20200915,3.7437
000012.SZ,20200915,26.7784
000014.SZ,20200915,5.4267
000016.SZ,20200915,21.8232
000017.SZ,20200915,2.6827
000019.SZ,20200915,4.2116
000020.SZ,20200915,1.7518
000021.SZ,20200915,14.0395
000023.SZ,20200915,2.6685
000025.SZ,20200915,2.7367
000026.SZ,20200915,7.7445
000027.SZ,20200915,16.3984
000028.SZ,20200915,3.9928
000030.SZ,20200915,3.4079
000031.SZ,20200915,14.651
000032.SZ,20200915,4.1635
000034.SZ,20200915,3.0419
000035.SZ,20200915,4.6116
000036.SZ,20200915,11.9118
000037.SZ,20200915,5.6683
000038.SZ,20200915,2.9238
000039.SZ,20200915,30.845
000040.SZ,20200915,4.3489
000042.SZ,20200915,13.3528
000045.SZ,20200915,2.9278
000046.SZ,20200915,34.0057
000048.SZ,20200915,6.259
000049.SZ,20200915,5.495
000050.SZ,20200915,8.3729
000055.SZ,20200915,9.7829
000056.SZ,20200915,4.7084
000058.SZ,20200915,3.2743
000059.SZ,20200915,1.7008
000060.SZ,20200915,37.8075
000061.SZ,20200915,21.4768
000062.SZ,20200915,7.2491
000063.SZ,20200915,15.8709
000065.SZ,20200915,15.3272
000066.SZ,20200915,10.8778
000068.SZ,20200915,2.2795
000069.SZ,20200915,42.485
000070.SZ,20200915,3.4835
000078.SZ,20200915,20.4845
000088.SZ,20200915,8.0164
000089.SZ,20200915,7.0873
000090.SZ,20200915,7.4845
000096.SZ,20200915,2.6544
000099.SZ,20200915,3.8031
000100.SZ,20200915,3.1677
000150.SZ,20200915,3.9436
000151.SZ,20200915,2.759
000153.SZ,20200915,5.6521
000155.SZ,20200915,1.5677
000156.SZ,20200915,1.0805
000157.SZ,20200915,71.0135
000158.SZ,20200915,2.9518
000159.SZ,20200915,3.2045
000166.SZ,20200915,1.449
000301.SZ,20200915,2.2932
000333.SZ,20200915,4.6351
000338.SZ,20200915,19.5913
000400.SZ,20200915,7.6722
000401.SZ,20200915,4.0476
000402.SZ,20200915,37.1556
000403.SZ,20200915,7.5813
000404.SZ,20200915,3.3367
000407.SZ,20200915,10.9833
000408.SZ,20200915,5.6754
000409.SZ,20200915,2.1503
000410.SZ,20200915,2.889
000411.SZ,20200915,2.5766
000413.SZ,20200915,4.5923
000415.SZ,20200915,20.9189
000416.SZ,20200915,9.6373
000417.SZ,20200915,17.4347
000419.SZ,20200915,14.4807
000420.SZ,20200915,6.3521
000421.SZ,20200915,6.9102
000422.SZ,20200915,14.7871
000423.SZ,20200915,10.1266
000425.SZ,20200915,38.4183
000426.SZ,20200915,16.9318
000428.SZ,20200915,12.1386
000429.SZ,20200915,3.7639
000430.SZ,20200915,4.6123
000488.SZ,20200915,9.5453
000498.SZ,20200915,2.8028
000501.SZ,20200915,6.6887
000502.SZ,20200915,3.1135
000503.SZ,20200915,7.6146
000504.SZ,20200915,2.1029
000505.SZ,20200915,3.3117
000506.SZ,20200915,2.8717
000507.SZ,20200915,4.562
000509.SZ,20200915,9.7463
000510.SZ,20200915,10.4222
000513.SZ,20200915,8.4095
000514.SZ,20200915,4.3499
000516.SZ,20200915,39.8728
000517.SZ,20200915,13.4059
000518.SZ,20200915,8.3769
000519.SZ,20200915,7.9372
000520.SZ,20200915,6.8547
000521.SZ,20200915,5.219
000523.SZ,20200915,6.6868
000524.SZ,20200915,4.927
000525.SZ,20200915,7.5239
000526.SZ,20200915,2.4707
000528.SZ,20200915,11.7158
000529.SZ,20200915,3.1643
000530.SZ,20200915,9.8524
000531.SZ,20200915,12.3691
000532.SZ,20200915,4.4189
000533.SZ,20200915,2.2577
000534.SZ,20200915,4.1719
000536.SZ,20200915,3.6732
000537.SZ,20200915,6.2044
000538.SZ,20200915,18.2402
000539.SZ,20200915,18.1674
000540.SZ,20200915,80.8949
000541.SZ,20200915,29.8867
000543.SZ,20200915,4.6173
000544.SZ,20200915,3.5108
000545.SZ,20200915,4.5595
000546.SZ,20200915,1.8279
000547.SZ,20200915,10.6037
000548.SZ,20200915,3.5358
000550.SZ,20200915,3.1162
000551.SZ,20200915,7.7258
000552.SZ,20200915,6.8641
000553.SZ,20200915,4.1865
