ts_code,trade_date,up_limit,down_limit
920992.BJ,20251118,25.74,13.86
920985.BJ,20251118,12.64,6.82
920982.BJ,20251118,305.64,164.58
920981.BJ,20251118,45.25,24.37
920978.BJ,20251118,49.33,26.57
920976.BJ,20251118,33.86,18.24
920974.BJ,20251118,12.11,6.53
920971.BJ,20251118,44.17,23.79
920970.BJ,20251118,11.31,6.09
920964.BJ,20251118,9.93,5.35
920961.BJ,20251118,35.69,19.23
920957.BJ,20251118,20.05,10.81
920953.BJ,20251118,50.12,27.0
920950.BJ,20251118,25.25,13.61
920946.BJ,20251118,16.26,8.76
920943.BJ,20251118,30.77,16.57
920942.BJ,20251118,45.39,24.45
920932.BJ,20251118,28.23,15.21
920931.BJ,20251118,21.32,11.48
920926.BJ,20251118,26.19,14.11
920925.BJ,20251118,44.22,23.82
920924.BJ,20251118,28.99,15.61
920914.BJ,20251118,43.1,23.22
920906.BJ,20251118,37.28,20.08
920896.BJ,20251118,28.69,15.45
920895.BJ,20251118,30.99,16.69
920892.BJ,20251118,21.22,11.44
920885.BJ,20251118,26.48,14.26
920879.BJ,20251118,31.29,16.85
920876.BJ,20251118,37.67,20.29
920873.BJ,20251118,10.43,5.63
920871.BJ,20251118,23.72,12.78
920870.BJ,20251118,24.62,13.26
920866.BJ,20251118,11.57,6.23
920857.BJ,20251118,44.59,24.01
920856.BJ,20251118,22.98,12.38
920855.BJ,20251118,25.77,13.89
920839.BJ,20251118,59.73,32.17
920837.BJ,20251118,20.64,11.12
920834.BJ,20251118,22.58,12.16
920833.BJ,20251118,24.63,13.27
920832.BJ,20251118,10.54,5.68
920826.BJ,20251118,18.36,9.9
920821.BJ,20251118,34.63,18.65
920819.BJ,20251118,5.64,3.04
920810.BJ,20251118,18.7,10.08
920809.BJ,20251118,11.73,6.33
920808.BJ,20251118,108.38,58.36
920807.BJ,20251118,22.2,11.96
920806.BJ,20251118,18.52,9.98
920802.BJ,20251118,22.63,12.19
920799.BJ,20251118,66.26,35.68
920792.BJ,20251118,16.92,9.12
920790.BJ,20251118,48.11,25.91
920786.BJ,20251118,13.28,7.16
920781.BJ,20251118,13.07,7.05
920779.BJ,20251118,53.37,28.75
920770.BJ,20251118,27.0,14.54
920768.BJ,20251118,17.51,9.43
920765.BJ,20251118,33.99,18.31
920753.BJ,20251118,34.12,18.38
920751.BJ,20251118,26.65,14.35
920748.BJ,20251118,80.23,43.21
920735.BJ,20251118,48.55,26.15
920729.BJ,20251118,12.88,6.94
920726.BJ,20251118,29.95,16.13
920725.BJ,20251118,47.06,25.34
920720.BJ,20251118,19.57,10.55
920719.BJ,20251118,19.6,10.56
920718.BJ,20251118,23.89,12.87
920717.BJ,20251118,16.99,9.15
920706.BJ,20251118,32.91,17.73
920703.BJ,20251118,20.54,11.06
920701.BJ,20251118,24.53,13.21
920699.BJ,20251118,68.32,36.8
920694.BJ,20251118,26.65,14.35
920693.BJ,20251118,53.09,28.59
920690.BJ,20251118,40.95,22.05
920689.BJ,20251118,45.24,24.36
920685.BJ,20251118,20.09,10.83
920682.BJ,20251118,13.62,7.34
920680.BJ,20251118,12.37,6.67
920679.BJ,20251118,28.49,15.35
920675.BJ,20251118,14.92,8.04
920670.BJ,20251118,23.14,12.46
920665.BJ,20251118,17.09,9.21
920663.BJ,20251118,25.25,13.61
920662.BJ,20251118,37.06,19.96
920656.BJ,20251118,23.92,12.88
920651.BJ,20251118,56.27,30.31
920642.BJ,20251118,21.32,11.48
920641.BJ,20251118,26.71,14.39
920640.BJ,20251118,48.34,26.04
920639.BJ,20251118,11.25,6.07
920634.BJ,20251118,34.19,18.41
920627.BJ,20251118,35.34,19.04
920608.BJ,20251118,28.08,15.12
920599.BJ,20251118,28.39,15.29
920593.BJ,20251118,43.94,23.66
920592.BJ,20251118,58.61,31.57
920580.BJ,20251118,21.6,11.64
920579.BJ,20251118,33.8,18.2
920578.BJ,20251118,34.97,18.83
920576.BJ,20251118,38.97,20.99
920575.BJ,20251118,17.75,9.57
920571.BJ,20251118,14.49,7.81
920570.BJ,20251118,48.85,26.31
920566.BJ,20251118,16.75,9.03
920564.BJ,20251118,28.05,15.11
920556.BJ,20251118,14.67,7.91
920553.BJ,20251118,14.58,7.86
920547.BJ,20251118,33.87,18.25
920541.BJ,20251118,19.66,10.6
920533.BJ,20251118,39.36,21.2
920527.BJ,20251118,24.98,13.46
920526.BJ,20251118,32.65,17.59
920523.BJ,20251118,41.14,22.16
920522.BJ,20251118,87.45,47.09
920519.BJ,20251118,17.35,9.35
920510.BJ,20251118,23.14,12.46
920509.BJ,20251118,49.72,26.78
920508.BJ,20251118,32.78,17.66
920505.BJ,20251118,66.05,35.57
920504.BJ,20251118,34.98,18.84
920496.BJ,20251118,14.71,7.93
920493.BJ,20251118,190.15,102.39
920491.BJ,20251118,37.89,20.41
920489.BJ,20251118,25.67,13.83
920478.BJ,20251118,27.66,14.9
920476.BJ,20251118,32.43,17.47
920475.BJ,20251118,23.63,12.73
920471.BJ,20251118,18.74,10.1
920469.BJ,20251118,17.01,9.17
920455.BJ,20251118,12.76,6.88
920454.BJ,20251118,23.11,12.45
920445.BJ,20251118,17.42,9.38
920438.BJ,20251118,52.0,28.0
920436.BJ,20251118,25.16,13.56
920433.BJ,20251118,8.81,4.75
920429.BJ,20251118,22.55,12.15
920427.BJ,20251118,18.87,10.17
920425.BJ,20251118,29.02,15.64
920422.BJ,20251118,18.59,10.01
920419.BJ,20251118,23.55,12.69
920418.BJ,20251118,37.71,20.31
920415.BJ,20251118,20.41,10.99
920414.BJ,20251118,17.68,9.52
920407.BJ,20251118,29.1,15.68
920405.BJ,20251118,33.15,17.85
920403.BJ,20251118,29.84,16.08
920402.BJ,20251118,16.69,8.99
920396.BJ,20251118,42.57,22.93
920395.BJ,20251118,16.97,9.15
920394.BJ,20251118,52.24,28.14
920392.BJ,20251118,47.17,25.41
920378.BJ,20251118,13.7,7.38
920375.BJ,20251118,19.59,10.55
920374.BJ,20251118,34.11,18.37
920371.BJ,20251118,15.0,8.08
920370.BJ,20251118,6.03,3.25
920368.BJ,20251118,39.4,21.22
920367.BJ,20251118,30.55,16.45
920363.BJ,20251118,24.66,13.28
920357.BJ,20251118,34.69,18.69
920351.BJ,20251118,33.87,18.25
920346.BJ,20251118,34.37,18.51
920344.BJ,20251118,38.75,20.87
920339.BJ,20251118,13.88,7.48
920305.BJ,20251118,13.85,7.47
920304.BJ,20251118,20.83,11.23
920300.BJ,20251118,20.94,11.28
920299.BJ,20251118,27.32,14.72
920284.BJ,20251118,67.88,36.56
920278.BJ,20251118,12.8,6.9
920275.BJ,20251118,13.88,7.48
920274.BJ,20251118,38.7,20.84
920273.BJ,20251118,49.2,26.5
920271.BJ,20251118,22.5,12.12
920270.BJ,20251118,22.5,12.12
920267.BJ,20251118,33.68,18.14
920266.BJ,20251118,13.36,7.2
920263.BJ,20251118,18.39,9.91
920262.BJ,20251118,34.46,18.56
920261.BJ,20251118,20.91,11.27
920260.BJ,20251118,16.44,8.86
920252.BJ,20251118,47.38,25.52
920249.BJ,20251118,18.87,10.17
920247.BJ,20251118,35.86,19.32
920245.BJ,20251118,36.95,19.91
920242.BJ,20251118,41.37,22.29
920239.BJ,20251118,49.27,26.53
920237.BJ,20251118,37.19,20.03
920230.BJ,20251118,18.73,10.09
920227.BJ,20251118,80.34,43.26
920225.BJ,20251118,60.19,32.41
920223.BJ,20251118,33.24,17.9
920221.BJ,20251118,23.4,12.6
920212.BJ,20251118,18.99,10.23
920208.BJ,20251118,33.86,18.24
920207.BJ,20251118,30.13,16.23
920204.BJ,20251118,26.0,14.0
920199.BJ,20251118,45.76,24.64
920198.BJ,20251118,13.72,7.4
920195.BJ,20251118,27.24,14.68
920190.BJ,20251118,34.67,18.67
920185.BJ,20251118,49.69,26.77
920184.BJ,20251118,25.33,13.65
920179.BJ,20251118,46.7,25.16
920175.BJ,20251118,17.13,9.23
920174.BJ,20251118,68.91,37.11
920171.BJ,20251118,30.32,16.34
920169.BJ,20251118,43.94,23.66
920167.BJ,20251118,25.49,13.73
920163.BJ,20251118,22.26,12.0
920160.BJ,20251118,99999.99,0.0
920158.BJ,20251118,23.63,12.73
920152.BJ,20251118,38.58,20.78
920149.BJ,20251118,17.56,9.46
920146.BJ,20251118,12.28,6.62
920145.BJ,20251118,34.33,18.49
920139.BJ,20251118,29.01,15.63
920132.BJ,20251118,26.71,14.39
920130.BJ,20251118,32.7,17.62
920128.BJ,20251118,38.51,20.75
920123.BJ,20251118,22.63,12.19
920122.BJ,20251118,55.01,29.63
920118.BJ,20251118,32.66,17.6
920116.BJ,20251118,91.06,49.04
920112.BJ,20251118,52.27,28.15
920111.BJ,20251118,35.32,19.02
920110.BJ,20251118,50.64,27.28
920108.BJ,20251118,19.89,10.71
920106.BJ,20251118,120.53,64.91
920101.BJ,20251118,56.13,30.23
920100.BJ,20251118,88.47,47.65
920099.BJ,20251118,40.69,21.91
920098.BJ,20251118,37.8,20.36
920092.BJ,20251118,44.36,23.9
920090.BJ,20251118,9.15,4.93
920089.BJ,20251118,25.55,13.77
920088.BJ,20251118,44.29,23.85
920087.BJ,20251118,21.34,11.5
920082.BJ,20251118,24.42,13.16
920080.BJ,20251118,37.85,20.39
920077.BJ,20251118,19.83,10.69
920075.BJ,20251118,37.99,20.47
920068.BJ,20251118,23.89,12.87
920066.BJ,20251118,36.77,19.81
920062.BJ,20251118,14.74,7.94
920061.BJ,20251118,43.1,23.22
920060.BJ,20251118,42.97,23.15
920058.BJ,20251118,46.17,24.87
920057.BJ,20251118,9.46,5.1
920056.BJ,20251118,36.06,19.42
920047.BJ,20251118,34.02,18.32
920046.BJ,20251118,20.0,10.78
920039.BJ,20251118,17.04,9.18
920037.BJ,20251118,128.67,69.29
920033.BJ,20251118,24.63,13.27
920030.BJ,20251118,9.71,5.23
920029.BJ,20251118,123.39,66.45
920027.BJ,20251118,34.45,18.55
920026.BJ,20251118,48.65,26.21
920023.BJ,20251118,5.92,3.2
920022.BJ,20251118,41.44,22.32
920021.BJ,20251118,8.93,4.81
920020.BJ,20251118,23.77,12.81
920019.BJ,20251118,27.5,14.82
920018.BJ,20251118,39.78,21.42
920017.BJ,20251118,26.39,14.21
920016.BJ,20251118,27.95,15.05
920015.BJ,20251118,76.68,41.3
920014.BJ,20251118,17.53,9.45
920010.BJ,20251118,18.65,10.05
920009.BJ,20251118,124.8,67.2
920008.BJ,20251118,40.66,21.9
920007.BJ,20251118,93.73,50.47
920006.BJ,20251118,38.61,20.79
920005.BJ,20251118,58.59,31.55
920003.BJ,20251118,44.7,24.08
920002.BJ,20251118,139.68,75.22
920001.BJ,20251118,26.89,14.49
920000.BJ,20251118,27.49,14.81
900948.BJ,20251118,2.1,1.718
900947.BJ,20251118,0.305,0.249
900946.BJ,20251118,0.271,0.221
900945.BJ,20251118,0.32,0.262
900943.BJ,20251118,0.576,0.472
900942.BJ,20251118,0.792,0.648
900941.BJ,20251118,0.468,0.383
900940.BJ,20251118,0.253,0.207
900939.BJ,20251118,0.754,0.617
900938.BJ,20251118,0.277,0.227
900937.BJ,20251118,0.185,0.151
900936.BJ,20251118,1.12,0.916
900934.BJ,20251118,1.485,1.215
900932.BJ,20251118,0.47,0.384
900929.BJ,20251118,1.354,1.108
900928.BJ,20251118,0.813,0.665
900927.BJ,20251118,0.461,0.377
900926.BJ,20251118,1.162,0.95
900925.BJ,20251118,1.617,1.323
900924.BJ,20251118,0.42,0.344
900923.BJ,20251118,0.598,0.49
900922.BJ,20251118,0.943,0.771
900921.BJ,20251118,0.206,0.168
900920.BJ,20251118,0.264,0.216
900918.BJ,20251118,0.438,0.358
900917.BJ,20251118,0.3,0.246
900916.BJ,20251118,0.428,0.35
900915.BJ,20251118,0.507,0.415
900914.BJ,20251118,0.547,0.447
900913.BJ,20251118,0.271,0.221
900912.BJ,20251118,0.778,0.636
900911.BJ,20251118,0.828,0.678
900910.BJ,20251118,0.58,0.474
900909.BJ,20251118,0.581,0.475
900908.BJ,20251118,0.768,0.628
900906.BJ,20251118,0.372,0.304
900905.BJ,20251118,3.842,3.144
900904.BJ,20251118,0.576,0.472
900903.BJ,20251118,0.222,0.182
900902.BJ,20251118,0.204,0.167
900901.BJ,20251118,0.758,0.62
689009.SH,20251118,67.27,44.85
688981.SH,20251118,141.16,94.1
688819.SH,20251118,41.96,27.98
688800.SH,20251118,88.38,58.92
688799.SH,20251118,61.2,40.8
688798.SH,20251118,90.84,60.56
688793.SH,20251118,36.17,24.11
688789.SH,20251118,91.56,61.04
688788.SH,20251118,79.68,53.12
688787.SH,20251118,124.5,83.0
688786.SH,20251118,34.58,23.06
688783.SH,20251118,31.09,20.73
688779.SH,20251118,10.9,7.26
688778.SH,20251118,97.8,65.2
688777.SH,20251118,60.89,40.59
688776.SH,20251118,110.77,73.85
688775.SH,20251118,320.06,213.38
688772.SH,20251118,29.87,19.91
688768.SH,20251118,51.83,34.55
688767.SH,20251118,49.72,33.14
688766.SH,20251118,189.0,126.0
688765.SH,20251118,99.83,66.55
688759.SH,20251118,34.96,23.3
688758.SH,20251118,26.45,17.63
688757.SH,20251118,32.88,21.92
688755.SH,20251118,51.7,34.46
688750.SH,20251118,24.46,16.3
688739.SH,20251118,33.6,22.4
688737.SH,20251118,31.79,21.19
688733.SH,20251118,41.4,27.6
688729.SH,20251118,29.63,19.75
688728.SH,20251118,17.6,11.74
688727.SH,20251118,99999.999,0.01
688726.SH,20251118,54.43,36.29
688722.SH,20251118,21.73,14.49
688721.SH,20251118,52.27,34.85
688720.SH,20251118,66.13,44.09
688719.SH,20251118,48.24,32.16
