ts_code,trade_date,open,high,low,close,vol,amount
300126.SZ,20210209,5.54,5.86,5.46,5.81,98534.0,55639.363
002468.SZ,20210209,9.78,10.35,9.59,10.18,416557.59,420076.863
300173.SZ,20210209,5.04,5.43,5.04,5.28,44698.0,23644.72
300110.SZ,20210209,4.0,4.07,3.98,4.04,107252.92,43184.907
002470.SZ,20210209,1.29,1.34,1.28,1.33,549048.67,72079.217
002476.SZ,20210209,3.31,3.58,3.25,3.39,82720.28,28170.061
300107.SZ,20210209,4.74,4.93,4.73,4.9,35944.0,17452.754
300305.SZ,20210209,9.3,9.3,8.98,9.2,44721.0,40804.795
601177.SH,20210209,7.03,7.12,6.95,7.1,11095.38,7816.526
601377.SH,20210209,8.26,8.55,8.15,8.51,908144.19,763751.879
603003.SH,20210209,6.88,7.0,6.88,6.98,18390.03,12830.385
300106.SZ,20210209,11.75,12.07,11.55,11.61,100877.37,118633.525
300113.SZ,20210209,14.28,14.62,14.13,14.45,70601.34,101742.641
300114.SZ,20210209,11.88,12.43,11.81,12.32,91043.59,110411.382
300112.SZ,20210209,7.57,7.9,7.5,7.86,36522.36,28102.747
300118.SZ,20210209,13.45,14.55,13.41,14.16,719930.56,1016151.175
300129.SZ,20210209,5.9,6.15,5.84,6.08,180238.6,108721.219
300133.SZ,20210209,6.82,6.89,6.66,6.88,405971.62,275361.65
300117.SZ,20210209,3.06,3.15,3.06,3.12,105512.0,32867.768
300111.SZ,20210209,2.58,2.63,2.56,2.61,88159.0,22873.079
300109.SZ,20210209,9.88,10.45,9.87,10.29,31403.83,32011.954
300116.SZ,20210209,1.76,1.82,1.73,1.79,846145.3,149632.518
300108.SZ,20210209,2.58,2.71,2.58,2.68,77647.5,20638.672
300115.SZ,20210209,22.17,22.67,21.82,22.47,194633.61,435567.313
002478.SZ,20210209,3.88,4.01,3.88,3.9,70585.5,27891.278
002471.SZ,20210209,2.3,2.36,2.3,2.34,57590.0,13487.713
002527.SZ,20210209,5.27,5.34,5.22,5.34,21730.25,11450.868
002473.SZ,20210209,4.18,4.33,4.07,4.27,7733.01,3267.715
002614.SZ,20210209,12.85,13.55,12.85,13.09,153921.53,203540.667
002472.SZ,20210209,9.06,9.53,8.94,9.48,70851.19,66111.221
002595.SZ,20210209,30.08,30.42,29.12,29.38,57773.46,170473.56
002569.SZ,20210209,8.0,8.16,7.96,8.1,6755.0,5435.512
601336.SH,20210209,47.38,47.97,45.96,47.8,161335.3,757327.763
002475.SZ,20210209,47.0,50.6,47.0,50.28,879147.5,4359929.656
300128.SZ,20210209,3.6,3.6,3.5,3.53,236220.02,83570.903
601098.SH,20210209,9.24,9.26,9.1,9.23,67382.92,61934.14
300120.SZ,20210209,7.71,8.16,7.71,8.01,58096.0,46137.194
002479.SZ,20210209,4.65,4.77,4.6,4.77,59176.11,27872.442
002480.SZ,20210209,4.15,4.28,4.14,4.24,22809.66,9629.396
002481.SZ,20210209,12.3,12.43,12.2,12.31,84584.86,104091.075
300121.SZ,20210209,13.42,14.56,13.28,14.24,109541.23,153886.15
300119.SZ,20210209,24.75,25.58,24.55,25.29,63159.98,159388.371
601818.SH,20210209,4.22,4.26,4.17,4.21,2432094.56,1019408.101
300125.SZ,20210209,15.01,15.23,14.75,15.02,20299.33,30374.127
300123.SZ,20210209,8.71,9.32,8.64,9.23,260966.88,235967.85
300122.SZ,20210209,200.66,205.6,192.2,199.5,148911.88,2961684.487
002488.SZ,20210209,7.5,7.84,7.01,7.65,287664.2,214196.36
002487.SZ,20210209,6.82,7.23,6.82,7.19,99268.0,70718.442
002495.SZ,20210209,1.97,2.02,1.96,2.01,45827.65,9134.523
002615.SZ,20210209,3.59,3.66,3.51,3.64,17235.78,6229.175
300127.SZ,20210209,14.16,14.76,14.12,14.64,35492.0,51794.894
002518.SZ,20210209,11.67,12.16,11.6,12.16,80740.33,96765.592
600998.SH,20210209,16.95,17.2,16.61,17.09,63322.39,107225.038
002493.SZ,20210209,42.5,44.3,41.66,43.84,527080.56,2275390.614
002491.SZ,20210209,3.94,3.96,3.91,3.94,48212.01,18967.321
601028.SH,20210209,12.3,12.92,12.14,12.87,61186.69,77030.008
002483.SZ,20210209,4.14,4.27,4.13,4.25,70957.41,29889.278
