ts_code,trade_date,open,high,low,close,vol,amount
000001.SZ,20180711,8.76,8.83,8.68,8.78,851296.7,744765.824
000002.SZ,20180711,23.48,23.63,23.17,23.46,286052.97,668957.022
000004.SZ,20180711,18.61,18.79,17.0,18.77,6549.93,11823.575
000005.SZ,20180711,2.9,2.91,2.8,2.83,32519.0,9278.873
000006.SZ,20180711,5.41,5.42,5.24,5.32,92207.85,49190.465
000007.SZ,20180711,13.77,13.78,13.45,13.52,10401.02,14081.638
000009.SZ,20180711,4.86,4.86,4.72,4.79,97665.11,46765.275
000010.SZ,20180711,4.21,4.22,4.08,4.17,141028.32,58413.731
000011.SZ,20180711,10.22,10.22,9.83,10.03,26031.0,26036.029
000012.SZ,20180711,4.84,4.84,4.7,4.75,57832.86,27541.196
000014.SZ,20180711,12.76,12.77,12.0,12.4,139491.03,172976.02
000016.SZ,20180711,5.01,5.04,4.91,4.97,90457.03,44967.037
000017.SZ,20180711,4.24,4.24,4.0,4.2,31615.39,13003.86
000018.SZ,20180711,3.18,3.21,3.06,3.17,239609.31,75049.89
000019.SZ,20180711,9.69,9.73,9.35,9.66,206686.55,198018.766
000020.SZ,20180711,12.95,12.95,12.12,12.52,15575.82,19490.899
000021.SZ,20180711,6.78,6.78,6.57,6.67,87755.48,58409.361
000022.SZ,20180711,20.57,20.63,19.31,19.32,63033.61,124122.984
000023.SZ,20180711,12.37,12.85,12.18,12.48,23844.0,29768.593
000025.SZ,20180711,31.46,31.7,30.78,31.25,15084.0,47005.859
000026.SZ,20180711,8.58,8.58,8.04,8.22,24105.94,19858.544
000027.SZ,20180711,4.9,4.91,4.82,4.86,25700.42,12453.41
000028.SZ,20180711,47.5,47.5,46.26,46.94,13586.68,63685.458
000030.SZ,20180711,7.32,7.32,6.9,7.1,38681.21,27573.422
000031.SZ,20180711,5.69,5.74,5.57,5.62,62321.26,35233.104
000032.SZ,20180711,7.38,7.38,7.03,7.11,19607.61,14074.053
000034.SZ,20180711,15.0,15.01,13.64,13.77,90774.71,127367.357
000035.SZ,20180711,4.91,5.15,4.91,4.91,332788.9,164168.721
000036.SZ,20180711,5.38,5.38,5.03,5.29,97781.59,51373.603
000037.SZ,20180711,5.9,5.9,5.64,5.76,13303.49,7643.895
000039.SZ,20180711,12.6,12.88,12.35,12.61,81858.1,103218.187
000040.SZ,20180711,9.01,9.17,8.67,9.16,114182.34,101724.022
000042.SZ,20180711,15.85,15.93,15.46,15.88,9455.55,14880.915
000043.SZ,20180711,7.0,7.0,6.82,6.92,26917.16,18612.068
000045.SZ,20180711,6.9,6.9,6.6,6.69,38846.22,26165.037
000046.SZ,20180711,5.47,5.56,5.31,5.52,199666.15,108612.275
000048.SZ,20180711,17.38,18.0,17.2,18.0,18916.84,33950.644
000049.SZ,20180711,27.45,27.57,26.8,27.12,21742.17,58924.751
000050.SZ,20180711,13.89,14.02,13.61,13.85,149593.77,207059.483
000055.SZ,20180711,4.98,4.98,4.73,4.8,92359.27,44547.343
000056.SZ,20180711,10.49,10.58,10.32,10.47,6440.0,6743.39
000058.SZ,20180711,4.98,4.98,4.7,4.85,25573.0,12332.901
000059.SZ,20180711,6.65,6.72,6.57,6.69,124756.92,82910.533
000060.SZ,20180711,4.45,4.52,4.3,4.39,295320.3,130535.994
000061.SZ,20180711,5.29,5.3,5.15,5.16,38254.66,19849.058
000062.SZ,20180711,19.1,19.18,18.66,19.15,21613.92,40879.052
000063.SZ,20180711,12.24,12.34,11.85,12.1,1653742.67,2007374.503
000065.SZ,20180711,7.57,7.57,7.2,7.35,41233.8,30425.44
000066.SZ,20180711,6.99,6.99,6.63,6.79,621718.28,423504.527
000068.SZ,20180711,2.93,2.93,2.77,2.81,29245.0,8309.515
000069.SZ,20180711,6.25,6.35,6.19,6.28,197505.29,123531.783
000070.SZ,20180711,7.46,7.46,7.02,7.28,85179.51,61993.279
000078.SZ,20180711,4.37,4.37,4.03,4.18,233864.28,97692.889
000088.SZ,20180711,5.65,5.66,5.51,5.63,50571.15,28262.169
000089.SZ,20180711,7.9,8.25,7.81,8.09,207348.22,167576.592
000090.SZ,20180711,5.6,5.6,5.49,5.57,41235.44,22917.354
000096.SZ,20180711,10.95,10.95,10.77,10.81,5469.0,5911.714
000099.SZ,20180711,6.32,6.32,6.11,6.16,31960.75,19804.355
000100.SZ,20180711,2.75,2.75,2.69,2.7,384858.63,104611.99
000150.SZ,20180711,26.36,26.83,26.36,26.7,2088.05,5545.316
000151.SZ,20180711,11.47,11.51,11.02,11.28,79862.79,90042.834
