ts_code,trade_date,adj_factor
000001.SZ,20240617,125.0496
000002.SZ,20240617,181.704
000004.SZ,20240617,4.064
000006.SZ,20240617,39.74
000007.SZ,20240617,8.284
000008.SZ,20240617,22.408
000009.SZ,20240617,8.932
000010.SZ,20240617,10.775
000011.SZ,20240617,4.4104
000012.SZ,20240617,28.486
000014.SZ,20240617,6.7763
000016.SZ,20240617,22.375
000017.SZ,20240617,2.683
000019.SZ,20240617,4.603
000020.SZ,20240617,1.752
000021.SZ,20240617,14.451
000023.SZ,20240617,2.668
000025.SZ,20240617,2.747
000026.SZ,20240617,8.7344
000027.SZ,20240617,17.681
000028.SZ,20240617,5.486
000029.SZ,20240617,2.291
000030.SZ,20240617,3.933
000031.SZ,20240617,14.651
000032.SZ,20240617,4.2305
000034.SZ,20240617,3.2169
000035.SZ,20240617,4.693
000036.SZ,20240617,12.84
000037.SZ,20240617,5.668
000039.SZ,20240617,50.774
000042.SZ,20240617,13.498
000045.SZ,20240617,2.9954
000048.SZ,20240617,9.488
000049.SZ,20240617,9.2586
000050.SZ,20240617,8.477
000055.SZ,20240617,10.1991
000056.SZ,20240617,4.708
000058.SZ,20240617,3.3071
000059.SZ,20240617,1.818
000060.SZ,20240617,40.096
000061.SZ,20240617,22.094
000062.SZ,20240617,7.9447
000063.SZ,20240617,16.377
000065.SZ,20240617,17.462
000066.SZ,20240617,11.008
000068.SZ,20240617,2.28
000069.SZ,20240617,45.255
000070.SZ,20240617,3.484
000078.SZ,20240617,20.484
000088.SZ,20240617,8.4616
000089.SZ,20240617,7.118
000090.SZ,20240617,8.969
000096.SZ,20240617,2.86
000099.SZ,20240617,3.9239
000100.SZ,20240617,3.7258
000151.SZ,20240617,2.759
000153.SZ,20240617,8.2541
000155.SZ,20240617,1.568
000156.SZ,20240617,1.167
000157.SZ,20240617,83.286
000158.SZ,20240617,2.952
000159.SZ,20240617,3.215
000166.SZ,20240617,1.528
000301.SZ,20240617,2.3788
000333.SZ,20240617,5.3469
000338.SZ,20240617,21.3686
000400.SZ,20240617,7.8969
000401.SZ,20240617,4.587
000402.SZ,20240617,39.142
000403.SZ,20240617,7.634
000404.SZ,20240617,3.632
000407.SZ,20240617,11.188
000408.SZ,20240617,6.6426
000409.SZ,20240617,2.15
000410.SZ,20240617,2.889
000411.SZ,20240617,3.2791
000415.SZ,20240617,20.919
000417.SZ,20240617,18.172
000419.SZ,20240617,15.878
000420.SZ,20240617,6.352
000421.SZ,20240617,7.292
000422.SZ,20240617,15.2892
000423.SZ,20240617,10.9517
000425.SZ,20240617,41.892
000426.SZ,20240617,16.973
000428.SZ,20240617,12.139
000429.SZ,20240617,4.463
000430.SZ,20240617,4.612
000488.SZ,20240617,9.767
000498.SZ,20240617,2.964
000501.SZ,20240617,6.921
000503.SZ,20240617,7.615
000504.SZ,20240617,2.103
000505.SZ,20240617,3.3527
000506.SZ,20240617,2.872
000507.SZ,20240617,4.7757
000509.SZ,20240617,9.7463
000510.SZ,20240617,10.422
000513.SZ,20240617,9.362
000514.SZ,20240617,4.42
000516.SZ,20240617,39.873
000517.SZ,20240617,15.79
000518.SZ,20240617,8.377
000519.SZ,20240617,7.971
000520.SZ,20240617,6.855
000521.SZ,20240617,5.6172
000523.SZ,20240617,6.687
000524.SZ,20240617,4.927
000525.SZ,20240617,7.524
000526.SZ,20240617,2.471
000528.SZ,20240617,12.596
000529.SZ,20240617,3.383
000530.SZ,20240617,9.918
000531.SZ,20240617,15.759
000532.SZ,20240617,4.5125
