ts_code,trade_date,adj_factor
000657.SZ,20210322,4.24
000659.SZ,20210322,16.527
000661.SZ,20210322,7.433
000662.SZ,20210322,6.043
000663.SZ,20210322,4.049
000665.SZ,20210322,5.766
000666.SZ,20210322,1.598
000667.SZ,20210322,25.348
000668.SZ,20210322,3.672
000669.SZ,20210322,3.651
000671.SZ,20210322,32.242
000672.SZ,20210322,6.01
000673.SZ,20210322,11.508
000676.SZ,20210322,10.804
000677.SZ,20210322,18.3
000678.SZ,20210322,4.96
000679.SZ,20210322,5.763
000680.SZ,20210322,5.447
000681.SZ,20210322,5.039
000682.SZ,20210322,15.749
000683.SZ,20210322,7.556
000685.SZ,20210322,14.609
000686.SZ,20210322,13.033
000687.SZ,20210322,3.319
000688.SZ,20210322,4.947
000690.SZ,20210322,44.57
000691.SZ,20210322,3.055
000692.SZ,20210322,12.19
000695.SZ,20210322,2.55
000697.SZ,20210322,3.675
000698.SZ,20210322,3.031
000700.SZ,20210322,15.894
000701.SZ,20210322,1.726
000702.SZ,20210322,2.553
000703.SZ,20210322,9.268
000705.SZ,20210322,5.417
000707.SZ,20210322,3.038
000708.SZ,20210322,3.603
000709.SZ,20210322,10.128
000710.SZ,20210322,3.497
000711.SZ,20210322,9.759
000712.SZ,20210322,13.151
000713.SZ,20210322,4.458
000715.SZ,20210322,4.989
000716.SZ,20210322,3.783
000717.SZ,20210322,4.673
000718.SZ,20210322,8.043
000719.SZ,20210322,4.49
000720.SZ,20210322,7.26
000721.SZ,20210322,4.69
000722.SZ,20210322,3.915
000723.SZ,20210322,6.703
000725.SZ,20210322,4.88
000726.SZ,20210322,8.035
000727.SZ,20210322,5.635
000728.SZ,20210322,2.624
000729.SZ,20210322,8.108
000731.SZ,20210322,11.309
000732.SZ,20210322,4.428
000733.SZ,20210322,2.201
000735.SZ,20210322,5.841
000736.SZ,20210322,2.991
000737.SZ,20210322,3.636
000738.SZ,20210322,1.799
000739.SZ,20210322,12.279
000750.SZ,20210322,12.576
000751.SZ,20210322,3.371
000752.SZ,20210322,4.771
000753.SZ,20210322,10.74
000755.SZ,20210322,2.567
000756.SZ,20210322,1.997
000757.SZ,20210322,4.024
000758.SZ,20210322,16.857
000759.SZ,20210322,7.004
000761.SZ,20210322,1.92
000762.SZ,20210322,5.38
000766.SZ,20210322,3.268
000767.SZ,20210322,10.762
000768.SZ,20210322,8.45
000776.SZ,20210322,5.606
000777.SZ,20210322,6.995
000778.SZ,20210322,13.363
000779.SZ,20210322,2.278
000780.SZ,20210322,4.901
000782.SZ,20210322,3.405
000783.SZ,20210322,5.531
000785.SZ,20210322,6.422
000786.SZ,20210322,10.616
000788.SZ,20210322,3.754
000789.SZ,20210322,5.844
000790.SZ,20210322,12.252
000791.SZ,20210322,3.716
000793.SZ,20210322,12.769
000795.SZ,20210322,4.284
000796.SZ,20210322,4.026
000797.SZ,20210322,6.631
000798.SZ,20210322,2.302
000799.SZ,20210322,2.028
000800.SZ,20210322,2.386
000801.SZ,20210322,14.457
000802.SZ,20210322,3.328
000803.SZ,20210322,3.005
000806.SZ,20210322,8.502
000807.SZ,20210322,6.803
000809.SZ,20210322,2.896
000810.SZ,20210322,5.327
000811.SZ,20210322,15.257
000812.SZ,20210322,7.386
000813.SZ,20210322,3.775
000815.SZ,20210322,3.446
000816.SZ,20210322,7.31
000818.SZ,20210322,2.071
000819.SZ,20210322,8.384
000820.SZ,20210322,1.925
000821.SZ,20210322,2.462
000822.SZ,20210322,2.405
000823.SZ,20210322,2.864
000825.SZ,20210322,7.277
000826.SZ,20210322,8.322
000828.SZ,20210322,3.691
000829.SZ,20210322,14.898
000830.SZ,20210322,6.799
000831.SZ,20210322,4.0
000833.SZ,20210322,1.657
000835.SZ,20210322,7.462
000836.SZ,20210322,8.029
000837.SZ,20210322,4.035
000838.SZ,20210322,13.037
000839.SZ,20210322,22.611
000848.SZ,20210322,25.37
000850.SZ,20210322,8.165
000851.SZ,20210322,2.397
000852.SZ,20210322,5.479
000856.SZ,20210322,1.878
000858.SZ,20210322,17.556
000859.SZ,20210322,3.675
000860.SZ,20210322,3.002
000861.SZ,20210322,18.698
000862.SZ,20210322,2.698
000863.SZ,20210322,6.054
000868.SZ,20210322,6.73
000869.SZ,20210322,4.646
000875.SZ,20210322,1.406
000876.SZ,20210322,18.164
000877.SZ,20210322,6.727
000878.SZ,20210322,2.792
000880.SZ,20210322,3.232
000881.SZ,20210322,4.951
000882.SZ,20210322,2.945
000883.SZ,20210322,5.382
000885.SZ,20210322,2.03
000886.SZ,20210322,3.021
000887.SZ,20210322,7.099
000888.SZ,20210322,6.303
000889.SZ,20210322,5.05
000890.SZ,20210322,3.602
000892.SZ,20210322,2.486
000893.SZ,20210322,2.035
000895.SZ,20210322,21.621
000897.SZ,20210322,5.945
000898.SZ,20210322,3.02
000899.SZ,20210322,3.55
000900.SZ,20210322,12.926
000901.SZ,20210322,6.519
000902.SZ,20210322,3.579
000903.SZ,20210322,11.88
000905.SZ,20210322,2.611
000908.SZ,20210322,2.83
000909.SZ,20210322,2.124
000910.SZ,20210322,2.452
000911.SZ,20210322,1.889
000912.SZ,20210322,2.301
000913.SZ,20210322,2.724
000915.SZ,20210322,3.218
000917.SZ,20210322,7.9
000918.SZ,20210322,2.466
000919.SZ,20210322,3.685
000920.SZ,20210322,3.07
000921.SZ,20210322,1.358
000922.SZ,20210322,2.712
000923.SZ,20210322,1.655
000925.SZ,20210322,3.007
000926.SZ,20210322,3.467
000927.SZ,20210322,1.588
000928.SZ,20210322,2.163
000929.SZ,20210322,2.498
000930.SZ,20210322,5.713
000931.SZ,20210322,1.54
000932.SZ,20210322,2.156
000933.SZ,20210322,12.439
000935.SZ,20210322,3.083
