ts_code,trade_date,suspend_type
000676.SZ,20160104,R
000712.SZ,20160104,R
000767.SZ,20160104,R
002109.SZ,20160104,R
002247.SZ,20160104,R
002481.SZ,20160104,R
300049.SZ,20160104,R
300194.SZ,20160104,R
300266.SZ,20160104,R
300323.SZ,20160104,R
600090.SH,20160104,R
600572.SH,20160104,R
600645.SH,20160104,R
600671.SH,20160104,R
600729.SH,20160104,R
600783.SH,20160104,R
600859.SH,20160104,R
000002.SZ,20160104,S
000007.SZ,20160104,S
000023.SZ,20160104,S
000028.SZ,20160104,S
000034.SZ,20160104,S
000035.SZ,20160104,S
000038.SZ,20160104,S
000058.SZ,20160104,S
000065.SZ,20160104,S
000066.SZ,20160104,S
000153.SZ,20160104,S
000426.SZ,20160104,S
000430.SZ,20160104,S
000534.SZ,20160104,S
000553.SZ,20160104,S
000585.SZ,20160104,S
000586.SZ,20160104,S
000599.SZ,20160104,S
000626.SZ,20160104,S
000657.SZ,20160104,S
000677.SZ,20160104,S
000693.SZ,20160104,S
000711.SZ,20160104,S
000718.SZ,20160104,S
000748.SZ,20160104,S
000796.SZ,20160104,S
000803.SZ,20160104,S
000810.SZ,20160104,S
000813.SZ,20160104,S
000829.SZ,20160104,S
000833.SZ,20160104,S
000836.SZ,20160104,S
000876.SZ,20160104,S
000901.SZ,20160104,S
000909.SZ,20160104,S
000925.SZ,20160104,S
000929.SZ,20160104,S
000968.SZ,20160104,S
000972.SZ,20160104,S
000973.SZ,20160104,S
000980.SZ,20160104,S
000981.SZ,20160104,S
000982.SZ,20160104,S
002006.SZ,20160104,S
002011.SZ,20160104,S
002015.SZ,20160104,S
002018.SZ,20160104,S
002020.SZ,20160104,S
002040.SZ,20160104,S
002044.SZ,20160104,S
002048.SZ,20160104,S
002049.SZ,20160104,S
002053.SZ,20160104,S
002065.SZ,20160104,S
002075.SZ,20160104,S
002082.SZ,20160104,S
002084.SZ,20160104,S
002099.SZ,20160104,S
002103.SZ,20160104,S
002112.SZ,20160104,S
002143.SZ,20160104,S
002147.SZ,20160104,S
002164.SZ,20160104,S
002174.SZ,20160104,S
002201.SZ,20160104,S
002207.SZ,20160104,S
002209.SZ,20160104,S
002219.SZ,20160104,S
002228.SZ,20160104,S
002231.SZ,20160104,S
002235.SZ,20160104,S
002239.SZ,20160104,S
002240.SZ,20160104,S
002242.SZ,20160104,S
002246.SZ,20160104,S
002265.SZ,20160104,S
002284.SZ,20160104,S
002286.SZ,20160104,S
002306.SZ,20160104,S
002313.SZ,20160104,S
002320.SZ,20160104,S
002340.SZ,20160104,S
002349.SZ,20160104,S
002360.SZ,20160104,S
002371.SZ,20160104,S
002379.SZ,20160104,S
002383.SZ,20160104,S
002409.SZ,20160104,S
002434.SZ,20160104,S
002435.SZ,20160104,S
002452.SZ,20160104,S
002465.SZ,20160104,S
002473.SZ,20160104,S
002483.SZ,20160104,S
002485.SZ,20160104,S
002502.SZ,20160104,S
002514.SZ,20160104,S
002530.SZ,20160104,S
002537.SZ,20160104,S
002542.SZ,20160104,S
002544.SZ,20160104,S
002567.SZ,20160104,S
002568.SZ,20160104,S
002569.SZ,20160104,S
002573.SZ,20160104,S
002575.SZ,20160104,S
002582.SZ,20160104,S
002608.SZ,20160104,S
002612.SZ,20160104,S
002619.SZ,20160104,S
002622.SZ,20160104,S
002624.SZ,20160104,S
002628.SZ,20160104,S
002631.SZ,20160104,S
002633.SZ,20160104,S
002638.SZ,20160104,S
002647.SZ,20160104,S
002652.SZ,20160104,S
002664.SZ,20160104,S
002678.SZ,20160104,S
002691.SZ,20160104,S
002696.SZ,20160104,S
002698.SZ,20160104,S
002707.SZ,20160104,S
300010.SZ,20160104,S
300011.SZ,20160104,S
300025.SZ,20160104,S
300028.SZ,20160104,S
300036.SZ,20160104,S
300038.SZ,20160104,S
300043.SZ,20160104,S
300054.SZ,20160104,S
300062.SZ,20160104,S
300063.SZ,20160104,S
300069.SZ,20160104,S
300081.SZ,20160104,S
300088.SZ,20160104,S
300089.SZ,20160104,S
300092.SZ,20160104,S
300104.SZ,20160104,S
300116.SZ,20160104,S
300132.SZ,20160104,S
300153.SZ,20160104,S
300162.SZ,20160104,S
300195.SZ,20160104,S
300197.SZ,20160104,S
300220.SZ,20160104,S
300222.SZ,20160104,S
300235.SZ,20160104,S
300238.SZ,20160104,S
300242.SZ,20160104,S
300247.SZ,20160104,S
300280.SZ,20160104,S
300281.SZ,20160104,S
300306.SZ,20160104,S
300313.SZ,20160104,S
300324.SZ,20160104,S
300326.SZ,20160104,S
300331.SZ,20160104,S
300336.SZ,20160104,S
300344.SZ,20160104,S
300349.SZ,20160104,S
300351.SZ,20160104,S
300355.SZ,20160104,S
300365.SZ,20160104,S
300366.SZ,20160104,S
300407.SZ,20160104,S
300410.SZ,20160104,S
300431.SZ,20160104,S
300437.SZ,20160104,S
300456.SZ,20160104,S
300459.SZ,20160104,S
430476.BJ,20160104,S
600053.SH,20160104,S
600070.SH,20160104,S
600106.SH,20160104,S
600120.SH,20160104,S
600122.SH,20160104,S
600133.SH,20160104,S
600145.SH,20160104,S
600153.SH,20160104,S
600155.SH,20160104,S
600156.SH,20160104,S
600168.SH,20160104,S
600200.SH,20160104,S
600219.SH,20160104,S
600227.SH,20160104,S
600233.SH,20160104,S
600234.SH,20160104,S
600237.SH,20160104,S
600271.SH,20160104,S
600282.SH,20160104,S
600354.SH,20160104,S
600375.SH,20160104,S
