ts_code,trade_date,open,high,low,close,vol,amount
300119.SZ,20190328,13.97,14.13,13.0,13.25,55164.38,75041.645
601818.SH,20190328,4.01,4.02,3.97,4.0,626640.92,250046.032
300125.SZ,20190328,17.85,18.58,16.56,16.88,343317.09,610368.035
002486.SZ,20190328,4.19,4.24,4.12,4.12,103609.0,43382.547
002482.SZ,20190328,6.08,6.22,6.06,6.09,113440.51,69629.194
002500.SZ,20190328,8.48,9.15,8.46,8.72,848255.73,747918.147
002485.SZ,20190328,8.0,8.05,7.84,7.86,53027.62,42061.695
002521.SZ,20190328,6.3,6.37,6.16,6.16,56532.52,35464.286
300123.SZ,20190328,12.28,12.75,12.24,12.3,61353.63,77004.399
300122.SZ,20190328,49.95,49.95,48.48,48.57,90051.69,440887.181
002488.SZ,20190328,10.8,10.83,10.1,10.2,522582.73,546466.034
002487.SZ,20190328,4.69,4.75,4.6,4.6,43745.0,20455.305
002495.SZ,20190328,3.66,3.76,3.55,3.63,481245.04,175669.658
002615.SZ,20190328,6.12,6.22,6.08,6.08,25233.25,15511.598
300127.SZ,20190328,13.03,13.25,12.82,12.9,26537.73,34509.691
002518.SZ,20190328,12.37,12.38,11.68,12.02,132445.17,158743.532
600998.SH,20190328,15.44,15.68,15.4,15.47,26255.04,40746.051
002493.SZ,20190328,12.4,12.51,12.22,12.35,64641.29,80075.727
002491.SZ,20190328,10.93,11.25,10.75,10.8,460742.68,507770.48
601028.SH,20190328,5.54,5.66,5.53,5.56,63281.15,35367.413
002483.SZ,20190328,4.53,4.61,4.46,4.48,64430.2,29170.478
300134.SZ,20190328,14.61,15.33,14.5,14.63,171700.58,257076.453
300135.SZ,20190328,3.21,3.27,3.16,3.18,125945.4,40503.334
300130.SZ,20190328,17.22,17.59,16.53,16.74,113306.1,193571.107
300329.SZ,20190328,9.73,10.01,9.53,9.55,70528.8,69139.108
002497.SZ,20190328,7.68,7.81,7.61,7.69,178048.33,137402.74
600958.SH,20190328,11.08,11.34,10.95,11.14,438082.7,488751.232
002494.SZ,20190328,6.37,6.82,6.32,6.67,216401.87,142717.827
601996.SH,20190328,3.53,3.55,3.47,3.47,66857.67,23384.432
300401.SZ,20190328,13.89,14.1,13.8,13.95,89218.86,124375.331
300131.SZ,20190328,6.29,6.53,6.24,6.32,265377.69,169121.429
300137.SZ,20190328,10.67,10.82,10.33,10.35,100330.86,106190.27
300132.SZ,20190328,14.6,15.09,14.49,15.02,155076.76,230514.344
