ts_code,trade_date,suspend_type
600966.SH,20200102,R
603799.SH,20200102,R
830879.BJ,20200102,R
000029.SZ,20200102,S
002115.SZ,20200102,S
002450.SZ,20200102,S
002552.SZ,20200102,S
300269.SZ,20200102,S
300391.SZ,20200102,S
430564.BJ,20200102,S
600145.SH,20200102,S
600215.SH,20200102,S
600319.SH,20200102,S
600538.SH,20200102,S
603960.SH,20200102,S
830832.BJ,20200102,S
832651.BJ,20200102,S
833394.BJ,20200102,S
834770.BJ,20200102,S
835857.BJ,20200102,S
837023.BJ,20200102,S
002115.SZ,20200103,R
603960.SH,20200103,R
000029.SZ,20200103,S
002450.SZ,20200103,S
002552.SZ,20200103,S
300269.SZ,20200103,S
300391.SZ,20200103,S
430564.BJ,20200103,S
600145.SH,20200103,S
600215.SH,20200103,S
600248.SH,20200103,S
600319.SH,20200103,S
600538.SH,20200103,S
830832.BJ,20200103,S
832651.BJ,20200103,S
833394.BJ,20200103,S
834770.BJ,20200103,S
835857.BJ,20200103,S
837023.BJ,20200103,S
600538.SH,20200106,R
000029.SZ,20200106,S
000750.SZ,20200106,S
002450.SZ,20200106,S
002552.SZ,20200106,S
002973.SZ,20200106,S
300269.SZ,20200106,S
300391.SZ,20200106,S
430564.BJ,20200106,S
600145.SH,20200106,S
600215.SH,20200106,S
600248.SH,20200106,S
600319.SH,20200106,S
600419.SH,20200106,S
600679.SH,20200106,S
830832.BJ,20200106,S
832651.BJ,20200106,S
833394.BJ,20200106,S
834770.BJ,20200106,S
835857.BJ,20200106,S
837023.BJ,20200106,S
002552.SZ,20200107,R
300269.SZ,20200107,R
300391.SZ,20200107,R
000029.SZ,20200107,S
000750.SZ,20200107,S
002450.SZ,20200107,S
430564.BJ,20200107,S
600145.SH,20200107,S
600215.SH,20200107,S
600248.SH,20200107,S
600319.SH,20200107,S
600419.SH,20200107,S
600679.SH,20200107,S
600817.SH,20200107,S
830832.BJ,20200107,S
832651.BJ,20200107,S
833394.BJ,20200107,S
834770.BJ,20200107,S
835857.BJ,20200107,S
837023.BJ,20200107,S
000029.SZ,20200108,S
000032.SZ,20200108,S
000750.SZ,20200108,S
002450.SZ,20200108,S
430564.BJ,20200108,S
600145.SH,20200108,S
600215.SH,20200108,S
600248.SH,20200108,S
600319.SH,20200108,S
600419.SH,20200108,S
600679.SH,20200108,S
600817.SH,20200108,S
830832.BJ,20200108,S
832651.BJ,20200108,S
833394.BJ,20200108,S
834770.BJ,20200108,S
835857.BJ,20200108,S
837023.BJ,20200108,S
000029.SZ,20200109,S
000032.SZ,20200109,S
000750.SZ,20200109,S
002450.SZ,20200109,S
002761.SZ,20200109,S
300812.SZ,20200109,S
430564.BJ,20200109,S
600145.SH,20200109,S
600215.SH,20200109,S
600248.SH,20200109,S
600319.SH,20200109,S
600419.SH,20200109,S
600679.SH,20200109,S
600817.SH,20200109,S
830832.BJ,20200109,S
832651.BJ,20200109,S
833394.BJ,20200109,S
834770.BJ,20200109,S
835857.BJ,20200109,S
837023.BJ,20200109,S
000029.SZ,20200110,S
000032.SZ,20200110,S
000750.SZ,20200110,S
002450.SZ,20200110,S
002656.SZ,20200110,S
002761.SZ,20200110,S
300571.SZ,20200110,S
430564.BJ,20200110,S
600145.SH,20200110,S
600150.SH,20200110,S
600215.SH,20200110,S
600248.SH,20200110,S
600319.SH,20200110,S
600419.SH,20200110,S
600679.SH,20200110,S
600817.SH,20200110,S
830832.BJ,20200110,S
832651.BJ,20200110,S
833394.BJ,20200110,S
834770.BJ,20200110,S
835857.BJ,20200110,S
837023.BJ,20200110,S
002656.SZ,20200113,R
600150.SH,20200113,R
000029.SZ,20200113,S
000032.SZ,20200113,S
000750.SZ,20200113,S
000803.SZ,20200113,S
002450.SZ,20200113,S
002761.SZ,20200113,S
002902.SZ,20200113,S
002971.SZ,20200113,S
300571.SZ,20200113,S
430564.BJ,20200113,S
600145.SH,20200113,S
