ts_code,trade_date,suspend_type
000023.SZ,20240822,S
000413.SZ,20240822,S
000861.SZ,20240822,S
000976.SZ,20240822,S
002341.SZ,20240822,S
002502.SZ,20240822,S
002505.SZ,20240822,S
002665.SZ,20240822,S
002736.SZ,20240822,S
300495.SZ,20240822,S
600213.SH,20240822,S
600297.SH,20240822,S
000023.SZ,20240823,S
000413.SZ,20240823,S
000861.SZ,20240823,S
000976.SZ,20240823,S
002308.SZ,20240823,S
002502.SZ,20240823,S
002505.SZ,20240823,S
002665.SZ,20240823,S
002736.SZ,20240823,S
300495.SZ,20240823,S
600213.SH,20240823,S
600297.SH,20240823,S
600777.SH,20240823,S
600777.SH,20240826,R
000023.SZ,20240826,S
000413.SZ,20240826,S
000861.SZ,20240826,S
000976.SZ,20240826,S
002308.SZ,20240826,S
002502.SZ,20240826,S
002505.SZ,20240826,S
002736.SZ,20240826,S
300495.SZ,20240826,S
600213.SH,20240826,S
600297.SH,20240826,S
603207.SH,20240826,S
000023.SZ,20240827,S
000413.SZ,20240827,S
000861.SZ,20240827,S
002308.SZ,20240827,S
002502.SZ,20240827,S
002505.SZ,20240827,S
002736.SZ,20240827,S
300495.SZ,20240827,S
600213.SH,20240827,S
600297.SH,20240827,S
600479.SH,20240827,S
000023.SZ,20240828,S
000413.SZ,20240828,S
000861.SZ,20240828,S
002308.SZ,20240828,S
002502.SZ,20240828,S
002505.SZ,20240828,S
002693.SZ,20240828,S
002736.SZ,20240828,S
300495.SZ,20240828,S
600213.SH,20240828,S
600479.SH,20240828,S
000023.SZ,20240829,S
000413.SZ,20240829,S
000861.SZ,20240829,S
002308.SZ,20240829,S
002502.SZ,20240829,S
002505.SZ,20240829,S
002693.SZ,20240829,S
002736.SZ,20240829,S
300495.SZ,20240829,S
600213.SH,20240829,S
600479.SH,20240829,S
600777.SH,20240829,S
000023.SZ,20240830,S
000413.SZ,20240830,S
000861.SZ,20240830,S
002308.SZ,20240830,S
002502.SZ,20240830,S
002693.SZ,20240830,S
002736.SZ,20240830,S
300495.SZ,20240830,S
600213.SH,20240830,S
600479.SH,20240830,S
600777.SH,20240830,S
600777.SH,20240902,R
000413.SZ,20240902,S
000861.SZ,20240902,S
002047.SZ,20240902,S
002308.SZ,20240902,S
002502.SZ,20240902,S
002693.SZ,20240902,S
002736.SZ,20240902,S
300495.SZ,20240902,S
600190.SH,20240902,S
600213.SH,20240902,S
600479.SH,20240902,S
600603.SH,20240902,S
600603.SH,20240903,R
000413.SZ,20240903,S
000861.SZ,20240903,S
002047.SZ,20240903,S
002308.SZ,20240903,S
002502.SZ,20240903,S
002693.SZ,20240903,S
002736.SZ,20240903,S
300495.SZ,20240903,S
600150.SH,20240903,S
600190.SH,20240903,S
600213.SH,20240903,S
600479.SH,20240903,S
601989.SH,20240903,S
000413.SZ,20240904,S
000861.SZ,20240904,S
002047.SZ,20240904,S
002308.SZ,20240904,S
002502.SZ,20240904,S
002693.SZ,20240904,S
002736.SZ,20240904,S
300495.SZ,20240904,S
600070.SH,20240904,S
600150.SH,20240904,S
600190.SH,20240904,S
600213.SH,20240904,S
600479.SH,20240904,S
601989.SH,20240904,S
002736.SZ,20240905,R
000413.SZ,20240905,S
000861.SZ,20240905,S
002047.SZ,20240905,S
002308.SZ,20240905,S
002693.SZ,20240905,S
300495.SZ,20240905,S
600070.SH,20240905,S
600150.SH,20240905,S
600190.SH,20240905,S
600213.SH,20240905,S
600479.SH,20240905,S
600847.SH,20240905,S
601989.SH,20240905,S
600847.SH,20240906,R
002047.SZ,20240906,R
000413.SZ,20240906,S
000861.SZ,20240906,S
002308.SZ,20240906,S
002693.SZ,20240906,S
300495.SZ,20240906,S
600070.SH,20240906,S
600150.SH,20240906,S
600190.SH,20240906,S
600213.SH,20240906,S
600479.SH,20240906,S
600837.SH,20240906,S
601211.SH,20240906,S
601989.SH,20240906,S
600070.SH,20240909,R
600479.SH,20240909,R
000413.SZ,20240909,S
000861.SZ,20240909,S
002208.SZ,20240909,S
002308.SZ,20240909,S
002693.SZ,20240909,S
002816.SZ,20240909,S
300495.SZ,20240909,S
300746.SZ,20240909,S
600150.SH,20240909,S
600190.SH,20240909,S
600213.SH,20240909,S
600837.SH,20240909,S
601211.SH,20240909,S
601989.SH,20240909,S
688115.SH,20240909,S
002816.SZ,20240910,R
000413.SZ,20240910,S
