ts_code,trade_date,adj_factor
000001.SZ,20220919,113.9362
000002.SZ,20220919,172.8236
000004.SZ,20220919,4.064
000005.SZ,20220919,9.268
000006.SZ,20220919,38.94
000007.SZ,20220919,8.284
000008.SZ,20220919,22.408
000009.SZ,20220919,8.9088
000010.SZ,20220919,10.775
000011.SZ,20220919,4.0903
000012.SZ,20220919,27.7783
000014.SZ,20220919,6.548
000016.SZ,20220919,22.375
000017.SZ,20220919,2.683
000019.SZ,20220919,4.4535
000020.SZ,20220919,1.752
000021.SZ,20220919,14.3559
000023.SZ,20220919,2.668
000025.SZ,20220919,2.7417
000026.SZ,20220919,8.1962
000027.SZ,20220919,17.2964
000028.SZ,20220919,4.1621
000029.SZ,20220919,2.2793
000030.SZ,20220919,3.7424
000031.SZ,20220919,14.651
000032.SZ,20220919,4.1893
000034.SZ,20220919,3.119
000035.SZ,20220919,4.6937
000036.SZ,20220919,12.7396
000037.SZ,20220919,5.668
000038.SZ,20220919,2.924
000039.SZ,20220919,49.5299
000040.SZ,20220919,4.349
000042.SZ,20220919,13.479
000045.SZ,20220919,2.958
000046.SZ,20220919,34.006
000048.SZ,20220919,9.037
000049.SZ,20220919,8.254
000050.SZ,20220919,8.477
000055.SZ,20220919,9.899
000056.SZ,20220919,4.708
000058.SZ,20220919,3.286
000059.SZ,20220919,1.7793
000060.SZ,20220919,39.2605
000061.SZ,20220919,21.9464
000062.SZ,20220919,7.56
000063.SZ,20220919,16.168
000065.SZ,20220919,17.396
000066.SZ,20220919,11.0003
000068.SZ,20220919,2.28
000069.SZ,20220919,45.2546
000070.SZ,20220919,3.484
000078.SZ,20220919,20.484
000088.SZ,20220919,8.0934
000089.SZ,20220919,7.1182
000090.SZ,20220919,8.4057
000096.SZ,20220919,2.8493
000099.SZ,20220919,3.8857
000100.SZ,20220919,3.3235
000150.SZ,20220919,3.944
000151.SZ,20220919,2.759
000153.SZ,20220919,5.7203
000155.SZ,20220919,1.568
000156.SZ,20220919,1.1372
000157.SZ,20220919,79.7062
000158.SZ,20220919,2.952
000159.SZ,20220919,3.215
000166.SZ,20220919,1.5196
000301.SZ,20220919,2.33
000333.SZ,20220919,4.8781
000338.SZ,20220919,20.5561
000400.SZ,20220919,7.7715
000401.SZ,20220919,4.5
000402.SZ,20220919,39.0566
000403.SZ,20220919,7.6021
000404.SZ,20220919,3.5243
000407.SZ,20220919,11.127
000408.SZ,20220919,6.0004
000409.SZ,20220919,2.15
000410.SZ,20220919,2.889
000411.SZ,20220919,3.1521
000413.SZ,20220919,4.592
000415.SZ,20220919,20.919
000416.SZ,20220919,9.7828
000417.SZ,20220919,17.8969
000419.SZ,20220919,15.4969
000420.SZ,20220919,6.352
000421.SZ,20220919,7.1424
000422.SZ,20220919,14.787
000423.SZ,20220919,10.4128
000425.SZ,20220919,39.025
000426.SZ,20220919,16.932
000428.SZ,20220919,12.139
000429.SZ,20220919,4.2141
000430.SZ,20220919,4.612
000488.SZ,20220919,9.767
000498.SZ,20220919,2.8916
000501.SZ,20220919,6.886
000503.SZ,20220919,7.615
000504.SZ,20220919,2.103
000505.SZ,20220919,3.312
000506.SZ,20220919,2.872
000507.SZ,20220919,4.7042
000509.SZ,20220919,9.7463
000513.SZ,20220919,8.982
000514.SZ,20220919,4.3975
000516.SZ,20220919,39.873
000517.SZ,20220919,14.211
000518.SZ,20220919,8.377
000519.SZ,20220919,7.9492
000520.SZ,20220919,6.855
000521.SZ,20220919,5.3613
000523.SZ,20220919,6.687
000524.SZ,20220919,4.927
000525.SZ,20220919,7.524
000526.SZ,20220919,2.471
000528.SZ,20220919,12.4325
000529.SZ,20220919,3.3037
000530.SZ,20220919,9.9
000531.SZ,20220919,15.6008
000532.SZ,20220919,4.464
000533.SZ,20220919,2.258
000534.SZ,20220919,4.2024
000536.SZ,20220919,3.673
000537.SZ,20220919,6.5605
000538.SZ,20220919,26.898
000539.SZ,20220919,18.753
000540.SZ,20220919,80.895
000541.SZ,20220919,30.9979
000543.SZ,20220919,4.712
000544.SZ,20220919,3.807
000545.SZ,20220919,4.56
000546.SZ,20220919,1.8475
000547.SZ,20220919,10.6398
000548.SZ,20220919,3.5681
000550.SZ,20220919,3.6263
000551.SZ,20220919,7.818
000552.SZ,20220919,7.36
000553.SZ,20220919,4.1985
000554.SZ,20220919,4.907
000555.SZ,20220919,3.1634
000557.SZ,20220919,7.328
000558.SZ,20220919,5.957
000559.SZ,20220919,36.5048
000560.SZ,20220919,5.3024
000561.SZ,20220919,2.52
000563.SZ,20220919,17.68
000564.SZ,20220919,7.182
000565.SZ,20220919,7.624
000566.SZ,20220919,9.514
000567.SZ,20220919,7.049
000568.SZ,20220919,33.6488
000570.SZ,20220919,4.5258
000571.SZ,20220919,7.613
000572.SZ,20220919,4.656
000573.SZ,20220919,8.049
000576.SZ,20220919,6.297
000581.SZ,20220919,5.8032
000582.SZ,20220919,5.106
000584.SZ,20220919,4.845
000586.SZ,20220919,3.698
000587.SZ,20220919,12.655
000589.SZ,20220919,6.278
000590.SZ,20220919,4.764
000591.SZ,20220919,13.823
000592.SZ,20220919,6.375
