ts_code,trade_date,adj_factor
000001.SZ,20240625,125.0493
000002.SZ,20240625,181.7038
000004.SZ,20240625,4.0639
000006.SZ,20240625,39.7397
000007.SZ,20240625,8.2835
000008.SZ,20240625,22.4083
000009.SZ,20240625,8.932
000010.SZ,20240625,10.7745
000011.SZ,20240625,4.4108
000012.SZ,20240625,28.4861
000014.SZ,20240625,6.7761
000016.SZ,20240625,22.3755
000017.SZ,20240625,2.6827
000019.SZ,20240625,4.7554
000020.SZ,20240625,1.7518
000021.SZ,20240625,14.4513
000023.SZ,20240625,2.6685
000025.SZ,20240625,2.7527
000026.SZ,20240625,8.7345
000027.SZ,20240625,18.0329
000028.SZ,20240625,5.6022
000029.SZ,20240625,2.2912
000030.SZ,20240625,3.9334
000031.SZ,20240625,14.651
000032.SZ,20240625,4.2302
000034.SZ,20240625,3.2173
000035.SZ,20240625,4.6933
000036.SZ,20240625,12.8399
000037.SZ,20240625,5.6683
000039.SZ,20240625,50.7736
000042.SZ,20240625,13.4979
000045.SZ,20240625,2.9951
000048.SZ,20240625,9.4879
000049.SZ,20240625,9.2591
000050.SZ,20240625,8.4772
000055.SZ,20240625,10.199
000056.SZ,20240625,4.7084
000058.SZ,20240625,3.3069
000059.SZ,20240625,1.8217
000060.SZ,20240625,40.0956
000061.SZ,20240625,22.5703
000062.SZ,20240625,7.9443
000063.SZ,20240625,16.3772
000065.SZ,20240625,17.6126
000066.SZ,20240625,11.0083
000068.SZ,20240625,2.2795
000069.SZ,20240625,45.2547
000070.SZ,20240625,3.4835
000078.SZ,20240625,20.4845
000088.SZ,20240625,8.4611
000089.SZ,20240625,7.1185
000090.SZ,20240625,8.9685
000096.SZ,20240625,2.8604
000099.SZ,20240625,3.9235
000100.SZ,20240625,3.7253
000151.SZ,20240625,2.759
000153.SZ,20240625,8.2536
000155.SZ,20240625,1.5677
000156.SZ,20240625,1.1667
000157.SZ,20240625,83.2861
000158.SZ,20240625,2.9518
000159.SZ,20240625,3.2146
000166.SZ,20240625,1.5284
000301.SZ,20240625,2.3785
000333.SZ,20240625,5.3473
000338.SZ,20240625,21.3685
000400.SZ,20240625,7.8966
000401.SZ,20240625,4.587
000402.SZ,20240625,39.1417
000403.SZ,20240625,7.6342
000404.SZ,20240625,3.6324
000407.SZ,20240625,11.1879
000408.SZ,20240625,6.6422
000409.SZ,20240625,2.1503
000410.SZ,20240625,2.889
000411.SZ,20240625,3.2787
000415.SZ,20240625,20.9189
000417.SZ,20240625,18.1723
000419.SZ,20240625,15.878
000420.SZ,20240625,6.3521
000421.SZ,20240625,7.2918
000422.SZ,20240625,15.2896
000423.SZ,20240625,10.952
000425.SZ,20240625,41.8921
000426.SZ,20240625,16.9726
000428.SZ,20240625,12.1386
000429.SZ,20240625,4.4629
000430.SZ,20240625,4.6123
000488.SZ,20240625,9.7673
000498.SZ,20240625,2.9642
000501.SZ,20240625,6.9205
000503.SZ,20240625,7.6146
000504.SZ,20240625,2.1029
000505.SZ,20240625,3.3525
000506.SZ,20240625,2.8717
000507.SZ,20240625,4.776
000509.SZ,20240625,9.7463
000510.SZ,20240625,10.4222
000513.SZ,20240625,9.3621
000514.SZ,20240625,4.4202
000516.SZ,20240625,39.8728
000517.SZ,20240625,15.7901
000518.SZ,20240625,8.3769
000519.SZ,20240625,7.9714
000520.SZ,20240625,6.8547
000521.SZ,20240625,5.6174
000523.SZ,20240625,6.6868
000524.SZ,20240625,4.927
000525.SZ,20240625,7.5239
000526.SZ,20240625,2.4707
000528.SZ,20240625,12.8191
000529.SZ,20240625,3.383
000530.SZ,20240625,9.9178
000531.SZ,20240625,15.7589
000532.SZ,20240625,4.5121
000533.SZ,20240625,2.2577
000534.SZ,20240625,4.2201
