ts_code,trade_date,up_limit,down_limit
302132.SZ,20221230,12.38,8.26
920527.BJ,20221230,10.5,5.66
920339.BJ,20221230,6.43,3.47
920505.BJ,20221230,13.06,7.04
920223.BJ,20221230,4.14,2.24
920169.BJ,20221230,7.73,4.17
920122.BJ,20221230,14.69,7.91
920001.BJ,20221230,9.25,4.99
920925.BJ,20221230,18.46,9.94
920808.BJ,20221230,35.25,18.99
920392.BJ,20221230,99999.99,0.0
920374.BJ,20221230,11.49,6.19
920351.BJ,20221230,8.12,4.38
920190.BJ,20221230,24.32,13.1
920981.BJ,20221230,15.78,8.5
920970.BJ,20221230,10.51,5.67
920857.BJ,20221230,11.03,5.95
920753.BJ,20221230,9.56,5.16
920642.BJ,20221230,9.77,5.27
920634.BJ,20221230,10.14,5.46
920553.BJ,20221230,4.32,2.34
920396.BJ,20221230,8.73,4.71
920245.BJ,20221230,14.06,7.58
920866.BJ,20221230,8.06,4.34
920608.BJ,20221230,11.21,6.05
920436.BJ,20221230,8.87,4.79
920357.BJ,20221230,15.1,8.14
920299.BJ,20221230,5.59,3.01
920204.BJ,20221230,11.12,6.0
920199.BJ,20221230,32.25,17.37
920146.BJ,20221230,3.93,2.13
920790.BJ,20221230,7.29,3.93
920729.BJ,20221230,10.42,5.62
920725.BJ,20221230,22.49,12.11
920680.BJ,20221230,15.83,8.53
920167.BJ,20221230,17.04,9.18
920971.BJ,20221230,21.17,11.41
920924.BJ,20221230,7.41,3.99
920810.BJ,20221230,10.85,5.85
920870.BJ,20221230,21.91,11.81
920402.BJ,20221230,17.32,9.34
920275.BJ,20221230,4.18,2.26
920262.BJ,20221230,99999.99,0.0
920227.BJ,20221230,24.94,13.44
920271.BJ,20221230,10.54,5.68
920163.BJ,20221230,6.99,3.77
920030.BJ,20221230,4.08,2.2
920821.BJ,20221230,11.01,5.93
920344.BJ,20221230,22.25,11.99
920242.BJ,20221230,11.06,5.96
920212.BJ,20221230,8.94,4.82
920092.BJ,20221230,17.74,9.56
920046.BJ,20221230,6.63,3.57
920957.BJ,20221230,7.08,3.82
920942.BJ,20221230,13.78,7.42
920892.BJ,20221230,11.23,6.05
920871.BJ,20221230,6.33,3.41
920826.BJ,20221230,12.09,6.51
920807.BJ,20221230,7.48,4.04
920720.BJ,20221230,15.15,8.17
920675.BJ,20221230,6.08,3.28
920433.BJ,20221230,4.53,2.45
920414.BJ,20221230,26.29,14.17
920395.BJ,20221230,18.08,9.74
920270.BJ,20221230,16.88,9.1
920263.BJ,20221230,6.57,3.55
920260.BJ,20221230,7.03,3.79
920247.BJ,20221230,8.33,4.49
920239.BJ,20221230,29.3,15.78
920149.BJ,20221230,5.09,2.75
920077.BJ,20221230,60.68,32.68
