ts_code,trade_date,open,high,low,close,vol,amount
000576.SZ,20190319,9.9,10.08,9.6,9.69,180428.49,177057.151
000581.SZ,20190319,23.24,23.33,22.85,22.96,91950.58,212307.361
000582.SZ,20190319,8.94,9.01,8.78,8.8,108274.6,95881.851
000584.SZ,20190319,9.01,9.01,8.7,8.88,125739.53,111099.416
000585.SZ,20190319,2.84,2.92,2.77,2.9,188818.14,53742.774
000586.SZ,20190319,11.3,11.47,11.15,11.27,91017.04,102638.92
000587.SZ,20190319,3.36,3.44,3.29,3.4,690750.89,233352.951
000589.SZ,20190319,4.08,4.19,4.07,4.19,143206.27,59003.121
000590.SZ,20190319,8.41,9.03,8.33,9.01,120295.49,105214.857
000591.SZ,20190319,4.27,4.34,4.22,4.26,307217.94,131148.922
000592.SZ,20190319,3.96,4.28,3.96,4.24,1465314.67,610129.004
000593.SZ,20190319,7.31,8.1,7.31,8.1,110357.44,88152.495
000595.SZ,20190319,3.8,3.89,3.71,3.76,184245.38,69913.172
000596.SZ,20190319,101.67,106.7,97.0,99.06,41845.56,416614.602
000597.SZ,20190319,13.4,13.48,13.04,13.25,58859.28,77800.771
000598.SZ,20190319,4.86,4.88,4.79,4.82,260567.36,125860.747
000599.SZ,20190319,4.52,4.57,4.48,4.52,47097.43,21268.269
000600.SZ,20190319,7.09,7.48,7.09,7.38,333996.12,245066.396
000601.SZ,20190319,5.05,5.07,4.86,4.89,107435.48,53099.167
000603.SZ,20190319,10.92,11.1,10.73,10.91,68588.82,75000.334
000605.SZ,20190319,10.79,10.85,10.54,10.62,75284.47,80207.956
600077.SH,20190319,3.31,3.33,3.25,3.28,126261.78,41540.626
600078.SH,20190319,4.2,4.34,4.18,4.27,183860.5,78271.773
600079.SH,20190319,11.43,11.57,11.26,11.35,123188.16,140149.694
600080.SH,20190319,7.71,7.8,7.61,7.64,122920.07,94361.811
600081.SH,20190319,9.35,9.79,9.25,9.68,93797.43,89337.066
600082.SH,20190319,5.48,5.65,5.45,5.53,297835.56,164939.264
600083.SH,20190319,18.05,18.1,17.91,18.04,21476.0,38663.256
600084.SH,20190319,3.53,3.67,3.47,3.54,338777.81,120050.827
600085.SH,20190319,31.1,31.25,30.61,30.89,89890.2,277158.225
600086.SH,20190319,5.62,6.29,5.52,6.29,1274566.95,765648.206
600088.SH,20190319,19.25,20.36,19.25,20.36,141435.56,281017.784
600089.SH,20190319,8.52,8.64,8.41,8.48,636112.1,542124.922
600090.SH,20190319,6.3,6.3,6.1,6.22,173793.51,107901.972
600091.SH,20190319,4.2,4.23,4.15,4.22,28484.78,11935.984
600093.SH,20190319,12.56,12.73,12.4,12.57,132561.87,166899.875
600094.SH,20190319,6.8,7.21,6.76,6.95,409046.97,286197.782
600095.SH,20190319,5.1,5.1,5.0,5.06,134198.72,67764.587
600096.SH,20190319,6.65,6.69,6.49,6.58,102385.06,67296.048
600097.SH,20190319,12.8,12.91,12.68,12.81,40430.4,51588.4
600098.SH,20190319,6.32,6.38,6.29,6.35,85066.93,53933.069
600099.SH,20190319,7.23,7.3,7.11,7.16,33783.18,24280.808
600100.SH,20190319,11.86,12.4,11.73,12.01,470430.73,569322.09
600101.SH,20190319,8.4,8.88,8.4,8.73,141857.87,122785.551
600103.SH,20190319,3.23,3.26,3.19,3.24,122222.43,39339.639
600104.SH,20190319,26.45,26.7,26.26,26.6,484522.67,1285333.053
600969.SH,20190319,8.4,8.44,8.15,8.44,150645.24,126595.873
600572.SH,20190319,8.95,9.3,8.85,9.1,977053.85,891929.41
600988.SH,20190319,4.41,4.49,4.39,4.45,348032.72,154518.578
600976.SH,20190319,17.45,17.6,17.32,17.44,23220.1,40466.705
600497.SH,20190319,5.4,5.4,5.3,5.37,526812.01,281387.823
600986.SH,20190319,6.1,6.13,5.93,5.97,321797.42,193861.237
600410.SH,20190319,8.3,8.99,8.2,8.99,564336.25,489771.97
600985.SH,20190319,12.38,12.48,12.28,12.33,31973.34,39514.408
600990.SH,20190319,46.1,47.35,45.71,46.64,28818.6,135057.334
600114.SH,20190319,8.33,8.37,8.15,8.28,194793.55,160601.236
600980.SH,20190319,12.5,12.67,12.42,12.58,29363.97,36775.616
600992.SH,20190319,8.65,8.69,8.59,8.62,28849.39,24896.83
600993.SH,20190319,15.67,15.76,15.37,15.46,60351.64,93665.011
600967.SH,20190319,11.63,12.08,11.6,11.98,390685.68,463423.953
600491.SH,20190319,8.85,8.88,8.51,8.82,368553.63,322073.068
600963.SH,20190319,4.82,4.87,4.79,4.83,200014.62,96575.529
600495.SH,20190319,5.6,5.64,5.48,5.56,294307.72,163208.456
600483.SH,20190319,9.71,9.96,9.58,9.73,101244.61,98800.153
600461.SH,20190319,6.11,6.13,6.03,6.06,88443.39,53668.02
600997.SH,20190319,6.81,6.87,6.68,6.75,190636.59,128637.245
600421.SH,20190319,12.77,12.77,11.55,11.6,50999.78,61688.254
600966.SH,20190319,3.71,3.76,3.64,3.67,177034.19,65389.486
600975.SH,20190319,9.96,10.88,9.59,10.88,403778.56,420946.004
600995.SH,20190319,8.28,8.51,8.28,8.36,124620.0,104492.63
600420.SH,20190319,10.32,10.33,10.13,10.23,58622.36,59855.609
002001.SZ,20190319,18.9,19.14,18.48,18.82,646319.84,1212838.412
002002.SZ,20190319,5.34,5.86,5.31,5.7,1979357.15,1093033.433
002003.SZ,20190319,7.69,7.72,7.58,7.66,95145.96,72680.078
002004.SZ,20190319,5.62,5.64,5.52,5.58,149616.31,83403.658
600962.SH,20190319,9.94,9.97,9.63,9.8,54310.44,53200.41
002005.SZ,20190319,2.93,2.98,2.9,2.92,289811.82,84841.277
600143.SH,20190319,5.51,5.54,5.42,5.46,118566.71,64896.187
002006.SZ,20190319,6.33,6.66,6.16,6.37,128167.34,81740.153
002007.SZ,20190319,45.2,45.88,43.9,44.46,130554.3,579802.013
002008.SZ,20190319,43.65,43.8,42.87,43.13,149747.05,646180.851
002009.SZ,20190319,11.28,11.46,11.05,11.17,91520.2,103067.627
600022.SH,20190319,2.02,2.03,1.98,1.99,1391665.87,278318.158
600981.SH,20190319,5.03,5.24,4.99,5.2,241944.61,123998.897
002010.SZ,20190319,8.56,8.59,8.34,8.34,199405.97,168270.859
002011.SZ,20190319,6.65,6.85,6.47,6.54,600455.2,398670.344
002012.SZ,20190319,5.2,5.27,5.15,5.25,247232.02,128843.48
002013.SZ,20190319,7.46,8.2,7.42,7.98,1306248.22,1027182.203
002014.SZ,20190319,7.72,7.8,7.63,7.8,34493.08,26677.498
600982.SH,20190319,4.08,4.13,3.97,3.98,199113.36,80026.49
600984.SH,20190319,6.58,6.82,6.54,6.7,143758.87,96013.074
600730.SH,20190319,6.82,7.67,6.72,7.28,498768.81,359752.821
600731.SH,20190319,5.46,5.57,5.42,5.55,49858.63,27466.152
600732.SH,20190319,5.9,5.95,5.84,5.91,44856.01,26436.303
600733.SH,20190319,8.81,8.86,8.68,8.72,180377.26,158038.257
600734.SH,20190319,8.47,8.68,8.41,8.53,177495.64,151994.033
600735.SH,20190319,6.85,7.02,6.72,6.79,181579.64,124510.45
600736.SH,20190319,7.78,8.36,7.67,8.27,637561.55,508340.816
