ts_code,entry_date,exit_date,qty,entry_price,exit_price,pnl,return,holding_days
000985.SZ,20201103,20201113,2200,22.220950196531795,18.119619468208096,-9075.694906566554,-0.18562285124689293,10
000816.SZ,20201103,20201130,21800,2.4023999999999996,3.50649,23973.99099118921,0.45769417279325014,27
000550.SZ,20201103,20201202,2200,23.132866640871864,19.94485558328497,-7071.282710759457,-0.13892580562164614,29
000039.SZ,20201103,20201202,3800,13.267592607970684,15.332850258022422,7773.911922523803,0.15417031142457538,29
000333.SZ,20201103,20201202,500,85.74853866236813,91.31245592927412,2723.4300711815376,0.06351208275954741,29
000516.SZ,20201103,20201202,5900,8.5085,8.68131,953.6128205934001,0.01899345291691033,29
000528.SZ,20201202,20201210,6100,8.359892804989908,7.555903437377151,-4964.542509725026,-0.09733870144611054,8
002272.SZ,20201202,20201214,7300,6.926919999999999,5.86413,-7814.751825290994,-0.15452153606082922,12
000157.SZ,20201202,20201215,5200,10.022512235701662,9.889638662282525,-757.4238818743252,-0.014531013755726857,13
000619.SZ,20201202,20201218,7200,7.00968721325736,6.30214441999043,-5153.619441646042,-0.10209819595110745,16
002098.SZ,20201202,20201229,8000,6.2062,5.52447,-5511.680875343998,-0.11099544796838465,27
000625.SZ,20201202,20201230,1800,27.527499999999996,21.28869,-11280.953815246794,-0.22763728802550653,28
002179.SZ,20201103,20210105,700,58.38938329673165,84.77035491619463,18392.770087027442,0.44993737679006496,63
002158.SZ,20210105,20210114,2600,16.68700947943511,15.164966230285536,-4008.782680884935,-0.09238415928733233,9
000547.SZ,20210105,20210118,1500,29.812005986307998,26.15231121281464,-5540.976444640386,-0.12389126954054358,13
002182.SZ,20210105,20210120,3000,14.412504881943155,12.11116134640281,-6951.933713869046,-0.16076139219829297,15
002389.SZ,20210105,20210120,1200,34.93643049151027,29.485973989763586,-6587.1713920176335,-0.15709994943859332,15
000821.SZ,20210105,20210125,4200,10.190179999999998,7.892420569478857,-9694.960713703003,-0.22649142585705412,20
002179.SZ,20201103,20210127,100,58.38938329673165,68.87130053031574,1029.5127402403014,0.17611362619512141,85
002335.SZ,20210105,20210127,1000,42.72099255568046,35.92264490291999,-6845.705082549866,-0.16021888660042036,22
000738.SZ,20210105,20210127,1700,25.149141411607285,22.113076919217256,-5210.584142952728,-0.12185719791740877,22
002318.SZ,20210105,20210202,3700,11.91948144202483,13.637716834724047,6293.262139169703,0.14267687694862416,28
000708.SZ,20210105,20210202,1100,40.912307692307685,49.81316206171451,9721.634696447152,0.21598793580567613,28
002202.SZ,20210105,20210202,2900,15.420917629945187,14.771530798503777,-1938.790198300092,-0.04334704117386347,28
002056.SZ,20210105,20210202,2800,15.710841941837456,15.962330510455603,646.5786847327545,0.014696054397447277,28
002340.SZ,20210105,20210202,5800,8.00070101000388,8.32656059517182,1827.9224362651803,0.03938570168772739,28
000680.SZ,20210202,20210208,11100,4.3043,3.57642,-8131.885271236795,-0.17017767623139174,6
002064.SZ,20210202,20210302,3100,15.822100550747441,14.419155674326488,-4407.459443326261,-0.08984612455083016,28
002258.SZ,20210202,20210302,1700,27.20941884411772,26.37577024988342,-1475.286606663365,-0.03188930619568679,28
002006.SZ,20210302,20210322,6300,7.357254858982812,6.1537604220817,-7633.160003353878,-0.16465877277456395,20
000151.SZ,20210402,20210409,4400,10.635270435224875,8.240886227566664,-10583.62662308402,-0.22613623337600727,7
000065.SZ,20210402,20210412,4500,11.479515595839523,9.262336118870728,-10032.559552471423,-0.19418359108418476,10
000605.SZ,20210402,20210412,7000,6.326944883445278,6.013622509454197,-2247.9122049962316,-0.05074860542564077,10
000791.SZ,20210402,20210426,8300,5.742820914669701,4.463440901896536,-10668.217786388472,-0.2237821105337548,24
000600.SZ,20210402,20210427,6900,6.726175837355779,5.482922526194961,-8628.528912464608,-0.18589012076008216,25
002210.SZ,20210402,20210506,15100,3.14314,2.6673299999999998,-7237.764802303798,-0.15247570551298878,34
000516.SZ,20210402,20210507,2800,15.31537682079011,15.414647318723539,222.28557429349166,0.005182775764475472,35
000898.SZ,20210507,20210517,7700,5.4367173396674575,4.586382897862234,-6594.112012777696,-0.1574946113060781,10
002099.SZ,20210507,20210528,3400,12.115132620948799,9.458392637388444,-9076.063716034823,-0.22030649679659595,21
000790.SZ,20210507,20210531,6500,6.309112142699413,5.816010000736069,-3254.427440704276,-0.07934687875979698,24
002345.SZ,20210507,20210602,4600,5.583252191681297,5.818831758188534,1048.165077449732,0.04080575965809464,26
000718.SZ,20210507,20210602,3400,7.630754501698752,11.255352859569648,12276.02968100339,0.4730950340126557,26
000731.SZ,20210507,20210602,4600,5.72090117144949,5.527897523170056,-922.0714782314935,-0.03503314846886327,26
002176.SZ,20210507,20210602,3200,8.528519999999999,7.90209,-2038.8308377855938,-0.07469549357914543,26
000989.SZ,20210507,20210602,2500,9.908821012416427,10.411790912812116,1222.7934172691785,0.04935463653735596,26
002004.SZ,20210507,20210602,3500,7.454807381788311,7.860429464365135,1383.3720344170106,0.05301165698580165,26
002390.SZ,20210507,20210602,2300,10.87054273540027,11.767876546068313,2028.1663215789704,0.08110756462502697,26
000059.SZ,20210507,20210602,3700,7.020257420189819,8.084918205349439,3900.553949643887,0.15014413975736954,26
000420.SZ,20210507,20210602,8200,3.183129887753656,3.186759830607201,-5.161081314479816,-0.000197701218930632,26
000516.SZ,20210402,20210602,100,15.31537682079011,20.469612674053487,506.07553974286475,0.3299405066754665,61
000718.SZ,20210507,20210610,2000,7.630754501698752,9.207940260475649,3124.9642738282873,0.2046808055537503,34
000989.SZ,20210507,20210615,1600,9.908821012416427,9.507838354482194,-667.6918386202851,-0.042099052248902466,39
002256.SZ,20210602,20210615,11000,2.622637224728916,2.7372779776564937,1220.9382244491353,0.042314335053960934,13
002004.SZ,20210507,20210616,2100,7.454807381788311,6.642008984977946,-1731.8948545327676,-0.11058531078529099,40
002390.SZ,20210507,20210616,1500,10.87054273540027,10.379307072466025,-763.4286472822332,-0.04680217372789516,40
002176.SZ,20210507,20210617,1900,8.528519999999999,7.302689999999999,-2354.276349720796,-0.14523145937963136,41
002345.SZ,20210507,20210617,2800,5.583252191681297,5.144753226978265,-1253.2097662321903,-0.08013304378245564,41
000426.SZ,20210602,20210624,3100,9.009106415147828,7.672410626159062,-4177.541418806268,-0.14955454259003245,22
002291.SZ,20210602,20210625,1200,22.639168275862062,18.496848299043755,-5002.980190140817,-0.18412262014550607,23
000731.SZ,20210507,20210630,2800,5.72090117144949,5.447198289255166,-792.7756861784546,-0.049472173451807405,54
002121.SZ,20210602,20210630,6200,4.42442,4.1958,-1453.457959999996,-0.0529755269677468,28
000420.SZ,20210507,20210702,4900,3.183129887753656,3.466475427024134,1360.3443780105208,0.08718256424405212,56
000516.SZ,20210402,20210702,100,15.31537682079011,18.631443453933503,321.29189249484443,0.20931213703220874,91
002198.SZ,20210602,20210702,3800,7.507795466173402,9.950431595104098,9233.836042538529,0.3236025793649065,30
000158.SZ,20210602,20210702,2600,10.981714018564942,10.010658228877293,-2560.7727645829655,-0.0896708980094829,30
002409.SZ,20210602,20210702,300,75.35610605251445,76.31873488460803,255.89302916268934,0.0113167757149335,30
002091.SZ,20210602,20210702,3400,8.636007526153382,9.443155204335064,2702.1953781229786,0.09201335574822564,30
000663.SZ,20210602,20210702,3400,8.167353148614609,11.287584901466884,10559.83004056086,0.38020557976545666,30
000059.SZ,20210507,20210702,2200,7.020257420189819,8.181056409466288,2524.737054276922,0.16340717493882573,56
000828.SZ,20210602,20210702,2400,12.003544509421703,11.769640732265449,-599.6162029324441,-0.020810247312967857,30
000516.SZ,20210402,20210707,100,15.31537682079011,17.63243844299873,218.03966542835906,0.14172768057845658,96
000999.SZ,20210702,20210719,1600,28.492276284387636,26.02851630136302,-3996.345316108709,-0.087650164646645,17
002154.SZ,20210702,20210726,6700,6.807971421239028,5.955183613919827,-5766.011649624059,-0.12639207593078527,24
002198.SZ,20210602,20210727,100,7.507795466173402,8.721613235467748,110.50961560588792,0.14621937852181674,55
000989.SZ,20210702,20210728,4000,11.392961604584524,9.780113221449039,-6502.828245746561,-0.14267323760137618,26
000707.SZ,20210702,20210802,10900,4.044572530945483,4.985666440611008,10189.26818661511,0.23108977274068168,31
000893.SZ,20210702,20210818,2400,18.12077136678626,17.914710989335042,-550.1151541803192,-0.012647437571592748,47
000657.SZ,20210702,20210917,4100,11.130069993396848,13.105643618526553,8031.670845883222,0.17597906579643607,77
