month,closed_trades,win_rate
2016-11,5,0.6
2016-12,473,0.7082452431289641
2017-01,253,0.5968379446640316
2017-02,16,0.5625
2017-03,23,0.6521739130434783
2017-04,536,0.2873134328358209
2017-05,716,0.5013966480446927
2017-06,262,0.5114503816793893
2017-07,304,0.5723684210526315
2017-08,36,0.5277777777777778
2017-09,36,0.4444444444444444
2017-10,200,0.54
2017-11,783,0.3895274584929757
2017-12,435,0.5494252873563218
2018-01,222,0.5990990990990991
2018-02,564,0.41312056737588654
2018-03,41,0.4878048780487805
2018-04,7,0.5714285714285714
2019-03,1,0.0
2019-04,68,0.29411764705882354
2019-05,997,0.44132397191574724
2019-06,453,0.5540838852097131
2019-07,229,0.5807860262008734
2019-08,427,0.38875878220140514
2019-09,22,0.7272727272727273
2019-10,315,0.6095238095238096
2019-11,207,0.5748792270531401
2019-12,36,0.3888888888888889
2020-01,6,0.5
2020-02,33,0.6363636363636364
2020-03,42,0.9285714285714286
2020-05,188,0.43617021276595747
2020-06,77,0.7272727272727273
2020-07,43,0.4883720930232558
2020-08,85,0.4588235294117647
2020-09,381,0.41732283464566927
2020-10,258,0.6821705426356589
2020-11,351,0.5783475783475783
2020-12,538,0.38847583643122674
2021-01,727,0.4786795048143054
2021-02,654,0.45565749235474007
2021-03,251,0.549800796812749
2021-04,188,0.48936170212765956
2021-05,360,0.4638888888888889
2021-06,101,0.4752475247524752
2021-07,57,0.47368421052631576
2022-01,1,0.0
2023-01,9,0.5555555555555556
2023-02,5,0.2
2023-03,12,0.5
2023-04,33,0.6060606060606061
2023-05,274,0.3795620437956204
2023-06,12,0.3333333333333333
2023-08,20,0.5
2023-09,1,0.0
2024-05,71,0.4225352112676056
2024-06,279,0.44802867383512546
2024-07,23,0.34782608695652173
2024-08,1,1.0
2024-10,2,0.5
2024-11,29,0.9310344827586207
2024-12,158,0.5063291139240507
2025-01,517,0.3965183752417795
2025-02,28,0.7857142857142857
2025-03,55,0.36363636363636365
2025-04,207,0.20772946859903382
2025-05,14,0.8571428571428571
2025-06,23,0.5217391304347826
2025-07,5,0.8
2025-08,4,0.75
2025-09,52,0.5769230769230769
2025-10,56,0.7321428571428571
2025-11,8,0.75
