date,equity,cash,n_pos
20200226,438093.2982259174,431573.2982259174,1
20200227,438164.8430746494,390473.85710447904,3
20200228,436446.1404145752,408815.34749859496,2
20200302,438946.6317840192,303556.0806320211,7
20200303,440039.6237231521,433519.6237231521,1
20200304,440122.5219114333,412449.5805051833,2
20200305,440202.0823289739,433682.0823289739,1
20200306,440430.93581295834,413311.7838598333,2
20200309,438696.9393285833,413311.7838598333,2
20200310,448351.50519516907,254140.55841845553,10
20200311,448347.42511237576,441827.42511237576,1
20200312,448347.42511237576,441827.42511237576,1
20200313,456547.572289658,222029.98900847734,25
20200316,456168.85182508646,430479.34237463307,2
20200317,455956.76363542187,430479.34237463307,2
20200318,455962.7133407924,449442.7133407924,1
20200319,455962.7133407924,449442.7133407924,1
20200320,455962.7133407924,449442.7133407924,1
20200323,455962.7133407924,449442.7133407924,1
20200324,455962.7133407924,449442.7133407924,1
20200325,455962.7133407924,449442.7133407924,1
20200326,455962.7133407924,449442.7133407924,1
20200327,455962.7133407924,449442.7133407924,1
20200330,455962.7133407924,449442.7133407924,1
20200331,455962.7133407924,449442.7133407924,1
20200401,455962.7133407924,449442.7133407924,1
20200402,455962.7133407924,449442.7133407924,1
20200403,455962.7133407924,449442.7133407924,1
20200407,455962.7133407924,449442.7133407924,1
20200408,455962.7133407924,449442.7133407924,1
20200409,455962.7133407924,449442.7133407924,1
20200410,455962.7133407924,449442.7133407924,1
20200413,455962.7133407924,449442.7133407924,1
20200414,455962.7133407924,449442.7133407924,1
20200415,455962.7133407924,449442.7133407924,1
20200416,455962.7133407924,449442.7133407924,1
20200417,455962.7133407924,449442.7133407924,1
20200420,455962.7133407924,449442.7133407924,1
20200421,455962.7133407924,449442.7133407924,1
20200422,455962.7133407924,449442.7133407924,1
20200423,455962.7133407924,449442.7133407924,1
20200424,455962.7133407924,449442.7133407924,1
20200427,455962.7133407924,449442.7133407924,1
20200428,455962.7133407924,449442.7133407924,1
20200429,455962.7133407924,449442.7133407924,1
20200430,455962.7133407924,449442.7133407924,1
20200506,457453.2829676481,232637.90521784383,11
20200507,458744.28269540076,116397.1377071611,21
20200508,458012.87792489136,77094.4539836896,25
20200511,448860.4776318056,205683.05903005155,26
20200512,443927.87721329916,209282.7466057949,25
20200513,444461.61030005536,174464.04868807647,13
20200514,442653.9626156289,348926.763970182,6
20200515,439754.33395742724,391075.86439160525,3
20200518,438065.95826186583,218543.62981115584,11
20200519,439500.39767895505,185345.29835620316,21
20200520,441613.5417714089,295908.2494040733,24
20200521,438025.6430192882,139375.10921879415,35
20200522,432094.90957005287,183469.86203683185,36
20200525,432625.8638975397,186405.55756166423,35
20200526,436463.1944067115,186405.55756166423,35
20200527,436487.16247981344,186405.55756166423,35
20200528,432271.1251601376,186405.55756166423,35
20200529,435745.0634249974,188927.200416091,34
20200601,442993.64435989934,190128.40317923945,32
20200602,444116.671110379,375042.45444426656,29
20200603,442332.78814637463,414292.9523400684,3
20200604,441224.955245157,393169.63930200925,3
20200605,441373.603572301,412012.57842921827,2
20200608,440644.17416153656,434124.17416153656,1
20200609,439927.05798642733,412685.92776986444,2
20200610,445095.43320443586,349190.2955847853,5
20200611,442992.6304037223,436472.6304037223,1
20200612,442992.6304037223,436472.6304037223,1
20200615,442992.6304037223,436472.6304037223,1
20200616,443251.09968652116,394342.2805832603,3
20200617,443019.4290529524,436499.4290529524,1
20200618,443019.4290529524,436499.4290529524,1
20200619,443019.4290529524,436499.4290529524,1
20200622,443019.4290529524,436499.4290529524,1
20200623,442895.8903012076,415097.2127339095,2
