month,closed_trades,win_rate
2016-11,5,0.6
2016-12,473,0.7082452431289641
2017-01,252,0.5952380952380952
2017-02,16,0.5625
2017-03,23,0.6521739130434783
2017-04,537,0.29236499068901306
2017-05,685,0.5284671532846715
2017-06,257,0.49416342412451364
2017-07,296,0.5675675675675675
2017-08,34,0.5294117647058824
2017-09,35,0.45714285714285713
2017-10,199,0.542713567839196
2017-11,787,0.39644218551461247
2017-12,430,0.5558139534883721
2018-01,223,0.6053811659192825
2018-02,565,0.41238938053097346
2018-03,42,0.47619047619047616
2018-04,6,0.6666666666666666
2018-05,1,1.0
2019-03,1,0.0
2019-04,69,0.30434782608695654
2019-05,972,0.4537037037037037
2019-06,495,0.5393939393939394
2019-07,229,0.5851528384279476
2019-08,433,0.3903002309468822
2019-09,22,0.7272727272727273
2019-10,315,0.6095238095238096
2019-11,209,0.5789473684210527
2019-12,36,0.3611111111111111
2020-01,7,0.42857142857142855
2020-02,35,0.6
2020-03,43,0.9302325581395349
2020-05,189,0.43915343915343913
2020-06,77,0.7272727272727273
2020-07,42,0.47619047619047616
2020-08,87,0.4482758620689655
2020-09,378,0.42063492063492064
2020-10,260,0.6884615384615385
2020-11,351,0.5726495726495726
2020-12,542,0.3856088560885609
2021-01,764,0.4908376963350785
2021-02,683,0.47584187408491946
2021-03,250,0.556
2021-04,187,0.47593582887700536
2021-05,364,0.45879120879120877
2021-06,99,0.48484848484848486
2021-07,55,0.45454545454545453
2022-01,1,0.0
2023-01,9,0.5555555555555556
2023-02,6,0.16666666666666666
2023-03,12,0.5
2023-04,33,0.6060606060606061
2023-05,255,0.40784313725490196
2023-06,31,0.3548387096774194
2023-08,20,0.5
2023-09,1,1.0
2024-05,70,0.4142857142857143
2024-06,281,0.44483985765124556
2024-07,23,0.34782608695652173
2024-10,2,0.5
2024-11,27,0.9629629629629629
2024-12,159,0.5094339622641509
2025-01,522,0.39655172413793105
2025-02,27,0.7777777777777778
2025-03,56,0.375
2025-04,205,0.1951219512195122
2025-05,15,0.8666666666666667
2025-06,23,0.5217391304347826
2025-07,5,0.8
2025-08,4,0.75
2025-09,54,0.6111111111111112
2025-10,56,0.7321428571428571
2025-11,9,0.7777777777777778
