date,equity,cash,n_pos
20200102,1000000.0,1000000.0,0
20200103,1000000.0,1000000.0,0
20200106,1000000.0,1000000.0,0
20200107,1000000.0,1000000.0,0
20200108,1000000.0,1000000.0,0
20200109,1000000.0,1000000.0,0
20200110,1000000.0,1000000.0,0
20200113,1000000.0,1000000.0,0
20200114,1000000.0,1000000.0,0
20200115,1000000.0,1000000.0,0
20200116,1000000.0,1000000.0,0
20200117,1000000.0,1000000.0,0
20200120,1000000.0,1000000.0,0
20200121,1000000.0,1000000.0,0
20200122,1000000.0,1000000.0,0
20200123,1000000.0,1000000.0,0
20200203,1000000.0,1000000.0,0
20200204,1000000.0,1000000.0,0
20200205,1000000.0,1000000.0,0
20200206,1000000.0,1000000.0,0
20200207,1000000.0,1000000.0,0
20200210,1000000.0,1000000.0,0
20200211,1000000.0,1000000.0,0
20200212,1000000.0,1000000.0,0
20200213,1000000.0,1000000.0,0
20200214,1000000.0,1000000.0,0
20200217,1000000.0,1000000.0,0
20200218,1000000.0,1000000.0,0
20200219,1000000.0,1000000.0,0
20200220,1000000.0,1000000.0,0
20200221,1000000.0,1000000.0,0
20200224,1000000.0,1000000.0,0
20200225,1000000.0,1000000.0,0
20200226,1000000.0,1000000.0,0
20200227,1000000.0,1000000.0,0
20200228,1000000.0,1000000.0,0
20200302,1000000.0,1000000.0,0
20200303,1000000.0,1000000.0,0
20200304,1000000.0,1000000.0,0
20200305,1000000.0,1000000.0,0
20200306,1000000.0,1000000.0,0
20200309,1000000.0,1000000.0,0
20200310,1000000.0,1000000.0,0
20200311,1000000.0,1000000.0,0
20200312,1000000.0,1000000.0,0
20200313,1000000.0,1000000.0,0
20200316,1000000.0,1000000.0,0
20200317,1000000.0,1000000.0,0
20200318,1000000.0,1000000.0,0
20200319,1000000.0,1000000.0,0
20200320,1000000.0,1000000.0,0
20200323,1000000.0,1000000.0,0
20200324,1000000.0,1000000.0,0
20200325,1000000.0,1000000.0,0
20200326,1000000.0,1000000.0,0
20200327,1000000.0,1000000.0,0
20200330,1000000.0,1000000.0,0
20200331,1000000.0,1000000.0,0
20200401,1000000.0,1000000.0,0
20200402,1000000.0,1000000.0,0
20200403,1000000.0,1000000.0,0
20200407,1000000.0,1000000.0,0
20200408,1000000.0,1000000.0,0
20200409,1000000.0,1000000.0,0
20200410,1000000.0,1000000.0,0
20200413,1000000.0,1000000.0,0
20200414,1000000.0,1000000.0,0
20200415,1000000.0,1000000.0,0
20200416,1000000.0,1000000.0,0
20200417,1000000.0,1000000.0,0
20200420,1000000.0,1000000.0,0
20200421,1000000.0,1000000.0,0
20200422,1000000.0,1000000.0,0
20200423,1000000.0,1000000.0,0
20200424,1000000.0,1000000.0,0
20200427,1000000.0,1000000.0,0
20200428,1000000.0,1000000.0,0
20200429,1000000.0,1000000.0,0
20200430,1000000.0,1000000.0,0
20200506,1000000.0,1000000.0,0
20200507,1000000.0,1000000.0,0
20200508,1000000.0,1000000.0,0
20200511,1000000.0,1000000.0,0
20200512,1000000.0,1000000.0,0
20200513,1000000.0,1000000.0,0
20200514,1000000.0,1000000.0,0
20200515,1000000.0,1000000.0,0
20200518,1000000.0,1000000.0,0
20200519,1000000.0,1000000.0,0
20200520,1000000.0,1000000.0,0
20200521,1000000.0,1000000.0,0
20200522,1000000.0,1000000.0,0
20200525,1000000.0,1000000.0,0
20200526,1000000.0,1000000.0,0
20200527,1000000.0,1000000.0,0
20200528,1000000.0,1000000.0,0
20200529,1000000.0,1000000.0,0
20200601,1000000.0,1000000.0,0
20200602,1000000.0,1000000.0,0
20200603,1000000.0,1000000.0,0
20200604,1000000.0,1000000.0,0
20200605,1000000.0,1000000.0,0
20200608,1000000.0,1000000.0,0
20200609,1000000.0,1000000.0,0
20200610,1000000.0,1000000.0,0
20200611,1000000.0,1000000.0,0
20200612,1000000.0,1000000.0,0
20200615,1000000.0,1000000.0,0
20200616,1000000.0,1000000.0,0
20200617,1000000.0,1000000.0,0
20200618,1000000.0,1000000.0,0
20200619,1000000.0,1000000.0,0
20200622,1000000.0,1000000.0,0
20200623,1000000.0,1000000.0,0
20200624,1000000.0,1000000.0,0
20200629,1000000.0,1000000.0,0
20200630,1000000.0,1000000.0,0
20200701,1000000.0,1000000.0,0
20200702,1000000.0,1000000.0,0
20200703,1000000.0,1000000.0,0
20200706,1000000.0,1000000.0,0
20200707,1000000.0,1000000.0,0
20200708,1000000.0,1000000.0,0
20200709,1000000.0,1000000.0,0
20200710,1000000.0,1000000.0,0
20200713,1000000.0,1000000.0,0
20200714,1000000.0,1000000.0,0
20200715,1000000.0,1000000.0,0
20200716,1000000.0,1000000.0,0
20200717,1000000.0,1000000.0,0
20200720,1000000.0,1000000.0,0
20200721,1000000.0,1000000.0,0
20200722,1000000.0,1000000.0,0
20200723,1000000.0,1000000.0,0
20200724,1000000.0,1000000.0,0
20200727,1000000.0,1000000.0,0
20200728,1000000.0,1000000.0,0
20200729,1000000.0,1000000.0,0
20200730,1000000.0,1000000.0,0
20200731,1000000.0,1000000.0,0
20200803,1000000.0,1000000.0,0
20200804,1000000.0,1000000.0,0
