year,total_return,max_drawdown
2016,0.012253831678501692,-0.00413323871960769
2017,-0.1616690170874363,-0.172054235261347
2018,-0.13389090096446088,-0.13710387030559046
2019,-0.16547023504903258,-0.1670197259742614
2020,-0.09548655241349469,-0.1097672135866643
2021,-0.06463571363223097,-0.07787952351791061
2022,0.0,0.0
2023,-0.013824164398834715,-0.02388712541636917
2024,-0.07825815947761072,-0.08014967596046729
2025,0.019062905648224993,-0.024713961629054926
