month,closed_trades,win_rate
2016-11,9,0.1111111111111111
2016-12,51,0.37254901960784315
2017-01,32,0.375
2017-02,18,0.7777777777777778
2017-03,34,0.35294117647058826
2017-04,36,0.3055555555555556
2017-05,52,0.3076923076923077
2017-06,14,0.14285714285714285
2017-07,35,0.3142857142857143
2017-08,48,0.75
2017-09,57,0.6491228070175439
2017-10,58,0.5517241379310345
2017-11,48,0.5416666666666666
2017-12,48,0.5208333333333334
2018-01,32,0.46875
2018-02,29,0.5862068965517241
2018-03,13,0.15384615384615385
2018-04,9,0.2222222222222222
2018-05,6,0.5
2018-06,4,1.0
2019-03,9,0.3333333333333333
2019-04,44,0.5454545454545454
2019-05,31,0.3548387096774194
2019-06,9,0.5555555555555556
2019-07,12,0.25
2019-08,32,0.125
2019-09,33,0.7272727272727273
2019-10,55,0.4727272727272727
2019-11,33,0.45454545454545453
2019-12,32,0.5625
2020-01,21,0.7142857142857143
2020-02,31,0.16129032258064516
2020-03,36,0.3611111111111111
2020-04,4,0.25
2020-05,12,0.5833333333333334
2020-06,29,0.4827586206896552
2020-07,42,0.7380952380952381
2020-08,55,0.6363636363636364
2020-09,63,0.4444444444444444
2020-10,19,0.42105263157894735
2020-11,30,0.4666666666666667
2020-12,56,0.4107142857142857
2021-01,27,0.5925925925925926
2021-02,24,0.4166666666666667
2021-03,43,0.20930232558139536
2021-04,57,0.3157894736842105
2021-05,34,0.4411764705882353
2021-06,56,0.5535714285714286
2021-07,53,0.5094339622641509
2021-08,11,0.6363636363636364
2021-09,11,1.0
2021-10,1,1.0
2023-02,4,0.0
2023-03,46,0.32608695652173914
2023-04,51,0.4117647058823529
2023-05,50,0.54
2023-06,15,0.2
2023-07,8,0.75
2023-08,21,0.047619047619047616
2023-09,6,0.0
2023-10,3,0.3333333333333333
2024-05,9,0.0
2024-06,35,0.3142857142857143
2024-07,7,0.5714285714285714
2024-08,6,0.8333333333333334
2024-09,2,0.5
2024-10,4,0.0
2024-11,52,0.40384615384615385
2024-12,47,0.2978723404255319
2025-01,19,0.3684210526315789
2025-02,2,1.0
2025-03,18,0.6111111111111112
2025-04,44,0.11363636363636363
2025-05,20,0.4
2025-06,46,0.5652173913043478
2025-07,51,0.5490196078431373
2025-08,48,0.5625
2025-09,63,0.5079365079365079
2025-10,34,0.35294117647058826
2025-11,22,0.2727272727272727
