month,closed_trades,win_rate
2016-02,34,0.9117647058823529
2016-03,72,0.7222222222222222
2016-04,157,0.7388535031847133
2016-05,490,0.5081632653061224
2016-06,26,0.6538461538461539
2016-07,34,0.5882352941176471
2016-08,285,0.5543859649122806
2016-09,69,0.6231884057971014
2016-10,20,0.8
2016-11,6,0.6666666666666666
2016-12,486,0.7181069958847737
2017-01,253,0.6047430830039525
2017-02,14,0.5
2017-03,21,0.6190476190476191
2017-04,544,0.2977941176470588
2017-05,1135,0.47400881057268723
2017-06,260,0.5038461538461538
2017-07,298,0.5704697986577181
2017-08,37,0.5135135135135135
2017-09,33,0.42424242424242425
2017-10,199,0.5577889447236181
2017-11,801,0.39575530586766544
2017-12,448,0.5267857142857143
2018-01,222,0.6036036036036037
2018-02,703,0.4850640113798009
2018-03,131,0.6412213740458015
2018-04,255,0.4666666666666667
2018-05,492,0.532520325203252
2018-06,848,0.32075471698113206
2018-07,622,0.5498392282958199
2018-08,540,0.45185185185185184
2018-09,411,0.5231143552311436
2018-10,507,0.38461538461538464
2018-11,97,0.5567010309278351
2018-12,133,0.42105263157894735
2019-01,240,0.6125
2019-02,130,0.8307692307692308
2019-03,1,0.0
2019-04,59,0.3050847457627119
2019-05,672,0.4017857142857143
2019-06,388,0.5360824742268041
2019-07,209,0.5311004784688995
2019-08,292,0.3150684931506849
2019-09,17,0.6470588235294118
2019-10,267,0.5617977528089888
2019-11,197,0.47715736040609136
2019-12,32,0.34375
2020-01,6,0.5
2020-02,141,0.7375886524822695
2020-03,242,0.44214876033057854
2020-04,278,0.6438848920863309
2020-05,484,0.5227272727272727
2020-06,86,0.4883720930232558
2020-07,44,0.45454545454545453
2020-08,73,0.410958904109589
2020-09,198,0.3434343434343434
2020-10,228,0.6096491228070176
2020-11,236,0.538135593220339
2020-12,391,0.34271099744245526
2021-01,545,0.45504587155963305
2021-02,451,0.4678492239467849
2021-03,163,0.5950920245398773
2021-04,124,0.49193548387096775
2021-05,330,0.4727272727272727
2021-06,76,0.39473684210526316
2021-07,184,0.4782608695652174
2021-08,206,0.7087378640776699
2021-09,207,0.5120772946859904
2021-10,261,0.3831417624521073
2021-11,411,0.36496350364963503
2021-12,92,0.5434782608695652
2022-01,172,0.23255813953488372
2022-02,216,0.5833333333333334
2022-03,113,0.35398230088495575
2022-04,261,0.2260536398467433
2022-05,196,0.6275510204081632
2022-06,19,0.3157894736842105
2022-07,65,0.7692307692307693
2022-08,116,0.6120689655172413
2022-09,196,0.3010204081632653
2022-10,218,0.5045871559633027
2022-11,127,0.5433070866141733
2022-12,74,0.3918918918918919
2023-01,86,0.7093023255813954
2023-02,5,0.2
2023-03,66,0.30303030303030304
2023-04,118,0.4152542372881356
2023-05,274,0.4562043795620438
2023-06,46,0.6304347826086957
2023-07,99,0.45454545454545453
2023-08,87,0.5517241379310345
2023-09,88,0.4772727272727273
2023-10,135,0.362962962962963
2023-11,64,0.78125
2023-12,103,0.3592233009708738
2024-01,245,0.5755102040816327
2024-02,212,0.23113207547169812
2024-03,8,0.75
2024-04,261,0.45977011494252873
2024-05,63,0.3968253968253968
2024-06,385,0.2909090909090909
2024-07,278,0.3597122302158273
2024-08,129,0.5968992248062015
2024-09,139,0.4892086330935252
2024-10,1,0.0
2024-11,26,0.7692307692307693
2024-12,77,0.45454545454545453
2025-01,203,0.35467980295566504
2025-02,25,0.76
2025-03,18,0.3333333333333333
2025-04,94,0.2765957446808511
2025-05,11,0.6363636363636364
2025-06,15,0.3333333333333333
2025-07,3,0.6666666666666666
2025-08,4,0.5
2025-09,47,0.48936170212765956
2025-10,30,0.6666666666666666
2025-11,6,0.8333333333333334
