year,total_return,max_drawdown
2016,0.07375393435800492,-0.03514481290330462
2017,-0.3216462254413843,-0.3338029882292737
2018,-0.6409443628700836,-0.6426943693002132
2019,-0.19631755081066604,-0.2339656044347076
2020,-0.09327711271618266,-0.16997276640525616
2021,-0.09931134775204797,-0.1347767406440349
2022,-0.22415206723804015,-0.25971786726970825
2023,-0.07312257252536902,-0.11876718433075717
2024,-0.34207323732231754,-0.3539179358600659
2025,-0.08019206798726175,-0.10906913977964017
