ts_code,entry_date,exit_date,qty,entry_price,exit_price,pnl,return,holding_days
300286.SZ,20161102,20161107,600,30.330121674584326,28.66790672209027,-1024.5297155296867,-0.056283338272735996,5
000915.SZ,20161102,20161115,300,52.565120202531645,47.68280111392405,-1489.0005669164548,-0.09439266937431338,13
002313.SZ,20161102,20161122,700,25.675649999999997,24.15582,-1090.7900739999968,-0.06067375705412528,20
002045.SZ,20161102,20161124,1300,15.20507083333333,13.516529464285714,-2222.6752680654718,-0.1124176170890709,22
300406.SZ,20161102,20161124,300,50.330578954703824,47.935858865107015,-742.7967845385756,-0.04917824701703818,22
000899.SZ,20161102,20161125,2000,9.956970070422534,10.282258665172854,620.0126721702945,0.031126790270277416,23
300305.SZ,20161102,20161129,700,27.33364254310345,26.91745215517242,-320.1754880603403,-0.01672934949292986,27
002476.SZ,20161102,20161129,1500,13.05315585648148,11.302166458333332,-2653.4373469097227,-0.1354849841757682,27
300407.SZ,20161102,20161129,500,39.35679999999999,39.23808527472527,-88.97640527472322,-0.004520377845022874,27
002623.SZ,20161102,20161129,400,50.099116781158,48.279052404317966,-757.3373716977403,-0.03778252530770967,27
002393.SZ,20161102,20161129,400,46.74976188235294,47.94001200000001,446.9240422588264,0.02389341449004447,27
300405.SZ,20161102,20161129,300,54.5545,53.646300000000004,-298.5538899999974,-0.018236363525304722,27
002420.SZ,20161102,20161130,2000,9.889584719764013,10.17981982300885,550.1105668436612,0.027805593180199976,28
002696.SZ,20161102,20161130,800,22.723985821618996,24.29632888996607,1228.437391565687,0.06755524894275985,28
002738.SZ,20161102,20161130,400,44.60687537387837,40.39685084745763,-1710.1685509072777,-0.0958198392837916,28
000530.SZ,20161102,20161130,1100,16.900914516924455,16.293844519166107,-695.7002265052652,-0.037411271413837294,28
300204.SZ,20161102,20161201,700,27.965291892940265,27.035485938712185,-679.7890081167534,-0.034717290901880436,29
300421.SZ,20161102,20161201,500,39.037007960199,42.24775970149254,1574.2519907960232,0.08063368094173431,29
002715.SZ,20161102,20161201,500,35.9359,35.08488,-453.0524399999995,-0.025207461212544382,29
002524.SZ,20161102,20161201,1900,10.44043,10.19979,-486.5956010000009,-0.02452374200407155,29
002731.SZ,20161102,20161202,200,30.621999999999996,32.42452603396603,347.3536349197466,0.05670092309144746,30
300158.SZ,20161102,20161202,400,20.223975997116767,22.738843392599712,989.6291986139149,0.12230006365164506,30
