signal_date,allow_new,candidate_count,selected_count,top_names
20170531,True,76,20,002761.SZ;002400.SZ;002524.SZ;600551.SH;300235.SZ;002651.SZ;000877.SZ;300222.SZ;600654.SH;002333.SZ;300197.SZ;300224.SZ;002558.SZ;300430.SZ;600425.SH;300008.SZ;601700.SH;000672.SZ;603703.SH;300302.SZ
20170605,True,14,14,601005.SH;600654.SH;600551.SH;000952.SZ;601113.SH;600873.SH;600851.SH;000807.SZ;300051.SZ;002212.SZ;300275.SZ;300284.SZ;600831.SH;002156.SZ
20170612,True,19,19,002571.SZ;000893.SZ;300265.SZ;300025.SZ;002530.SZ;600241.SH;603006.SH;601005.SH;300051.SZ;600854.SH;002045.SZ;600425.SH;300189.SZ;300162.SZ;002765.SZ;000715.SZ;300275.SZ;603118.SH;002429.SZ
20170619,True,3,3,002134.SZ;000526.SZ;603601.SH
20170626,True,8,8,002134.SZ;600590.SH;300275.SZ;002109.SZ;300057.SZ;002339.SZ;000526.SZ;000818.SZ
20170703,True,9,9,002082.SZ;300275.SZ;300168.SZ;002494.SZ;002575.SZ;002342.SZ;300315.SZ;600463.SH;300407.SZ
20170710,True,15,15,002007.SZ;000915.SZ;002418.SZ;002350.SZ;300332.SZ;600511.SH;300467.SZ;002658.SZ;002343.SZ;300133.SZ;600196.SH;000965.SZ;603169.SH;300334.SZ;300371.SZ
20170717,True,420,20,002291.SZ;000702.SZ;300113.SZ;002175.SZ;000409.SZ;002420.SZ;002339.SZ;002513.SZ;300379.SZ;300469.SZ;300402.SZ;300063.SZ;300210.SZ;000153.SZ;000887.SZ;603616.SH;300407.SZ;300428.SZ;600874.SH;002457.SZ
20170724,True,27,20,000034.SZ;002175.SZ;002457.SZ;002730.SZ;000953.SZ;002642.SZ;002261.SZ;000702.SZ;300302.SZ;002675.SZ;002671.SZ;002312.SZ;000710.SZ;002255.SZ;300469.SZ;600202.SH;300467.SZ;300033.SZ;300368.SZ;002658.SZ
20170731,True,12,12,000953.SZ;300252.SZ;002312.SZ;000034.SZ;603009.SH;000921.SZ;000605.SZ;600135.SH;002278.SZ;000980.SZ;000507.SZ;300393.SZ
20170807,True,11,11,300423.SZ;002312.SZ;603010.SH;603355.SH;603009.SH;000544.SZ;600710.SH;600095.SH;300393.SZ;600693.SH;000910.SZ
20170814,True,6,6,300322.SZ;300486.SZ;600312.SH;000921.SZ;000544.SZ;000567.SZ
20170821,True,4,4,300151.SZ;600671.SH;000716.SZ;002760.SZ
20170828,True,1,1,002174.SZ
20170904,True,5,5,300134.SZ;002547.SZ;300289.SZ;600609.SH;002074.SZ
20170911,True,6,6,002570.SZ;300334.SZ;300397.SZ;300374.SZ;002567.SZ;000401.SZ
20170918,True,7,7,600654.SH;600556.SH;002545.SZ;603126.SH;002194.SZ;002542.SZ;300113.SZ
20170925,True,38,20,600654.SH;002125.SZ;603085.SH;600295.SH;600133.SH;600392.SH;600556.SH;600259.SH;002743.SZ;600148.SH;002302.SZ;002600.SZ;002430.SZ;000905.SZ;000032.SZ;600111.SH;000990.SZ;002307.SZ;300433.SZ;300133.SZ
20171009,True,9,9,600654.SH;002545.SZ;300291.SZ;000755.SZ;300149.SZ;002399.SZ;002486.SZ;600480.SH;603108.SH
20171016,True,43,20,300409.SZ;300092.SZ;300224.SZ;002386.SZ;000862.SZ;300457.SZ;300337.SZ;600740.SH;000816.SZ;300037.SZ;300291.SZ;300257.SZ;300121.SZ;600295.SH;300213.SZ;600997.SH;000422.SZ;603026.SH;002056.SZ;300153.SZ
20171023,True,39,20,601069.SH;600595.SH;601015.SH;300100.SZ;002128.SZ;002160.SZ;600549.SH;000862.SZ;002276.SZ;002167.SZ;600117.SH;002544.SZ;000761.SZ;600408.SH;002500.SZ;600758.SH;600714.SH;600873.SH;000728.SZ;002246.SZ
20171030,True,174,20,002426.SZ;300148.SZ;300224.SZ;000856.SZ;002769.SZ;002176.SZ;002545.SZ;300100.SZ;600773.SH;300291.SZ;600791.SH;002530.SZ;300157.SZ;002542.SZ;600846.SH;002378.SZ;603118.SH;300479.SZ;000762.SZ;300025.SZ
