month,closed_trades,win_rate
2016-11,23,0.5217391304347826
2016-12,117,0.46153846153846156
2017-01,182,0.5
2017-02,98,0.7448979591836735
2017-03,32,0.375
2017-04,124,0.20161290322580644
2017-05,122,0.32786885245901637
2017-06,170,0.5176470588235295
2017-07,89,0.29213483146067415
2017-08,140,0.7428571428571429
2017-09,35,0.5428571428571428
2017-10,119,0.3865546218487395
2017-11,206,0.2912621359223301
2017-12,188,0.32978723404255317
2018-01,127,0.5118110236220472
2018-02,147,0.46938775510204084
2018-03,63,0.8095238095238095
2018-04,3,0.0
2019-04,35,0.4
2019-05,138,0.4057971014492754
2019-06,127,0.48031496062992124
2019-07,85,0.4588235294117647
2019-08,105,0.5238095238095238
2019-09,12,0.5833333333333334
2019-10,129,0.5348837209302325
2019-11,139,0.28776978417266186
2019-12,135,0.5777777777777777
2020-01,2,0.5
2020-02,7,0.14285714285714285
2020-03,22,0.22727272727272727
2020-05,65,0.4153846153846154
2020-06,68,0.5588235294117647
2020-07,30,0.6333333333333333
2020-08,62,0.6451612903225806
2020-09,168,0.23214285714285715
2020-10,102,0.6176470588235294
2020-11,161,0.484472049689441
2020-12,196,0.2653061224489796
2021-01,148,0.42567567567567566
2021-02,143,0.4405594405594406
2021-03,112,0.4375
2021-04,64,0.6875
2021-05,101,0.6039603960396039
2021-06,152,0.5592105263157895
2021-07,88,0.3522727272727273
2021-08,13,0.38461538461538464
2021-12,3,0.3333333333333333
2022-01,2,0.5
2023-01,10,0.3
2023-02,21,0.5714285714285714
2023-03,39,0.5384615384615384
2023-04,63,0.49206349206349204
2023-05,115,0.3652173913043478
2023-06,10,0.4
2023-08,45,0.4444444444444444
2024-05,68,0.38235294117647056
2024-06,57,0.22807017543859648
2024-07,5,0.2
2024-08,15,0.3333333333333333
2024-10,1,1.0
2024-11,34,0.5588235294117647
2024-12,92,0.5108695652173914
2025-01,123,0.43902439024390244
2025-02,64,0.84375
2025-03,34,0.7058823529411765
2025-04,65,0.07692307692307693
2025-05,64,0.765625
2025-06,65,0.49230769230769234
2025-07,33,0.5757575757575758
2025-08,24,0.5
2025-09,63,0.2857142857142857
2025-10,167,0.5449101796407185
2025-11,62,0.6451612903225806
