ts_code,entry_date,exit_date,qty,entry_price,exit_price,pnl,return,holding_days
600056.SH,19700101,19700101,900,21.27532573289902,19.382529199627736,-1801.7158821742632,-0.09406700367512105,0
002313.SZ,19700101,19700101,700,25.67565,23.76621,-1430.1725256000027,-0.07954972359966665,0
000899.SZ,19700101,19700101,2000,9.956970070422534,10.041676824583869,56.997551939824916,0.0028613351953194204,0
002623.SZ,19700101,19700101,400,50.099116781158,46.70908321884201,-1461.0485753640824,-0.07288603502865224,0
300405.SZ,19700101,19700101,300,54.5545,52.2477,-780.0237479999978,-0.04764592050498009,0
300406.SZ,19700101,19700101,300,50.330578954703824,46.99002117969139,-1081.4112182853642,-0.07159907652368076,0
600379.SH,19700101,19700101,800,22.20218,22.48749,127.57251920000272,0.00718027795707032,0
000915.SZ,19700101,19700101,300,52.565120202531645,47.17202126582279,-1697.6640556435432,-0.10762237409088707,0
002476.SZ,19700101,19700101,1500,13.05315585648148,11.362337708333332,-2632.43172713889,-0.13440643593029755,0
603030.SH,19700101,19700101,200,33.6005,31.681523526473523,-419.39373964335664,-0.06239013694075684,0
002731.SZ,19700101,19700101,200,30.622,32.42452603396603,324.2978891972025,0.05293590049776304,0
000789.SZ,19700101,19700101,1100,7.378653810408921,7.922552788104088,549.6654369526004,0.06770150772949911,0
300158.SZ,19700101,19700101,300,20.223975997116767,22.738843392599712,716.485299810909,0.11805631408110497,0
601996.SH,19700101,19700101,900,9.3468375,9.599856553398055,179.40218617354185,0.021320150224197237,0
603328.SH,19700101,19700101,200,32.36857878727634,34.57725691848907,403.14161918171067,0.06225492870978975,0
600313.SH,19700101,19700101,500,16.12996556962025,17.251158336347196,512.4613189367083,0.06352246995661441,0
600051.SH,19700101,19700101,600,12.443829424342104,13.204594687499998,412.2286574921045,0.055195365233010774,0
600592.SH,19700101,19700101,600,13.241052817123071,15.050518300283288,1035.4352521941482,0.13029234773047543,0
603010.SH,19700101,19700101,100,60.9511794217348,69.98912327018945,864.8716141296127,0.14185324035783292,0
002524.SZ,19700101,19700101,800,10.44043,10.47951,-15.674825599999167,-0.001876134958357843,0
002393.SZ,19700101,19700101,100,46.74976188235294,47.30323764705883,28.87436766117753,0.00617451443312893,0
300421.SZ,19700101,19700101,200,39.037007960199,41.69120238805971,484.30399056318765,0.06201278840759771,0
600226.SH,19700101,19700101,700,11.52151,10.49949,-756.7866249999997,-0.0938071060257688,0
300204.SZ,19700101,19700101,300,27.965291892940265,27.542929887509697,-173.01873642067585,-0.020616847367913065,0
600858.SH,19700101,19700101,900,9.270323008849555,9.3523639380531,26.723073086290242,0.003201981029285859,0
002715.SZ,19700101,19700101,200,35.9359,35.544419999999995,-118.12923920000048,-0.016431174821930645,0
600300.SH,19700101,19700101,1100,7.174629831013915,7.421399629366657,225.81239050457407,0.02860390423953072,0
601515.SH,19700101,19700101,600,13.809508705296516,13.03666508827524,-507.64847676043337,-0.061249611737625886,0
