ts_code,entry_date,exit_date,qty,entry_price,exit_price,pnl,return,holding_days
000985.SZ,20201103,20201113,2200,22.220950196531795,18.119619468208096,-9248.868192441158,-0.18913548378189823,10
000816.SZ,20201103,20201130,21800,2.4023999999999996,3.50649,23648.310449400014,0.4514067370697885,27
000516.SZ,20201103,20201202,5900,8.5085,8.68131,733.0543913000001,0.01459825400796051,29
000550.SZ,20201103,20201202,2200,23.132866640871864,19.94485558328497,-7261.449034775251,-0.14263985535260676,29
000333.SZ,20201103,20201202,500,85.74853866236813,91.31245592927412,2527.1183444410563,0.05892486276081319,29
000039.SZ,20201103,20201202,3800,13.267592607970684,15.332850258022422,7524.050410426942,0.14919205756141798,29
000528.SZ,20201202,20201210,6000,8.359892804989908,7.555903437377151,-5079.261742034119,-0.1012321277907043,8
002272.SZ,20201202,20201214,7300,6.926919999999999,5.86413,-8000.420144499993,-0.15816831711875323,12
000157.SZ,20201202,20201215,5200,10.022512235701662,9.889638662282525,-979.1361423997078,-0.018781612423211982,13
000619.SZ,20201202,20201218,7200,7.00968721325736,6.30214441999043,-5349.938866969365,-0.10597109328739832,16
002098.SZ,20201202,20201229,8000,6.2062,5.52447,-5702.972407999994,-0.11482996901065018,27
000625.SZ,20201202,20201230,1800,27.527499999999996,21.28869,-11447.816952599991,-0.23096870074387715,28
002179.SZ,20201103,20210105,700,58.38938329673165,84.77035491619463,18139.920346392697,0.4436833982603003,63
002158.SZ,20210105,20210114,2600,16.68700947943511,15.164966230285536,-4179.301549836178,-0.09629895593438306,9
000547.SZ,20210105,20210118,1400,29.812005986307998,26.15231121281464,-5330.143874604037,-0.12767016735898803,13
002389.SZ,20210105,20210120,1200,34.93643049151027,29.485973989763586,-6740.655711647858,-0.16073560909074927,15
002182.SZ,20210105,20210120,3000,14.412504881943155,12.11116134640281,-7109.569326422585,-0.1643812590412052,15
000821.SZ,20210105,20210125,4200,10.190179999999998,7.892420569478857,-9839.11451686539,-0.22982358804459319,20
002179.SZ,20201103,20210127,100,58.38938329673165,68.87130053031574,997.6764820861263,0.170456979538352,85
002335.SZ,20210105,20210127,1000,42.72099255568046,35.92264490291999,-7001.553968512642,-0.16384109341912442,22
000738.SZ,20210105,20210127,1700,25.149141411607285,22.113076919217256,-5373.374522225124,-0.1256448692459806,22
